=== Sun Jul 27 11:23:20 PM EDT 2025 ===
Linux 6.8.0-63-generic (dewey-ubuntu) 	07/27/2025 	_x86_64_	(20 CPU)

11:23:20 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:23:43 PM   12    2.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00
11:23:43 PM   13    1.03    0.00    1.03    0.00    0.00    0.00    0.00    0.00    0.00   97.94
11:23:43 PM   14   99.01    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:23:43 PM   15   99.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:23:43 PM   16   10.20    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   86.73
11:23:43 PM   17   99.01    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:23:43 PM   18  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:23:43 PM   19    6.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   91.00

Average:     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
Average:     all   50.95    0.00    0.80    0.00    0.00    0.05    0.00    0.00    0.00   48.20
Average:       0    1.02    0.00    0.00    0.00    0.00    1.02    0.00    0.00    0.00   97.96
Average:       1  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
Average:       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
Average:       3  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
Average:       4    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01
Average:       5   98.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00    1.00
Average:       6   76.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   24.00
Average:       7   24.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   76.00
Average:       8  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
Average:       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
Average:      10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
Average:      11  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
Average:      12    2.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00
Average:      13    1.03    0.00    1.03    0.00    0.00    0.00    0.00    0.00    0.00   97.94
Average:      14   99.01    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00
Average:      15   99.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
Average:      16   10.20    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   86.73
Average:      17   99.01    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00
Average:      18  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
Average:      19    6.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   91.00
=== Sun Jul 27 11:23:53 PM EDT 2025 ===
Linux 6.8.0-63-generic (dewey-ubuntu) 	07/27/2025 	_x86_64_	(20 CPU)

11:23:53 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:23:54 PM  all   53.48    0.00    1.05    0.00    0.00    0.00    0.00    0.00    0.00   45.47
11:23:54 PM    0    2.06    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   97.94
11:23:54 PM    1   99.01    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:23:54 PM    2   17.82    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   82.18
11:23:54 PM    3   88.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   12.00
11:23:54 PM    4   97.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00    2.00
11:23:54 PM    5    0.99    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   98.02
11:23:54 PM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:23:54 PM    7  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:23:54 PM    8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:23:54 PM    9  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:23:54 PM   10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:23:54 PM   11  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:23:54 PM   12   34.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   65.00
11:23:54 PM   13   38.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00   57.00
