Location ID,Depth name,Well,Date,Time,pH,EC_uS/cm,DO_uM,ORP_mV,DOC_mM,DIC_mM,NH4_mM,Cl_mM,SO4_mM,NO3_mM,Mn_M,sd_M,Ca_M,sd_M,Fe_M,sd_M,Sr_M,sd_M,P_M,sd_M
ER-MZA1,Deep,MZT1-1-D,8/12/19,14:40,7.98,273,0.486,,0.12,1.826,0.0022,0.0074,0.2658,0.0013,1.66E-06,3.27E-08,1.02E-03,1.04E-05,1.02E-06,7.51E-09,1.84E-06,1.91E-08,5.44E-06,1.65E-06
ER-MZA1,Deep,MZT1-1-D,8/28/19,10:00,7.44,364,0.627,,0.193,1.976,0.0013,0.0079,0.2703,0,3.38E-06,4.61E-08,1.09E-03,1.37E-05,1.25E-06,1.52E-08,1.97E-06,2.33E-08,1.16E-05,1.54E-06
ER-MZA1,Deep,MZT1-1-D,9/17/19,16:20,7.83,304,,,0.135,2.353,0.0025,0.0092,0.3005,0,3.90E-06,7.84E-08,1.17E-03,7.02E-06,3.94E-06,2.21E-08,2.20E-06,2.24E-08,1.13E-05,1.31E-06
ER-MZA1,Mid,MZT1-1-M,5/15/19,,,,,,0.244,3.376,0.0027,0.0596,0.514,0,8.49E-09,7.92E-10,2.09E-03,1.68E-05,0,0,3.53E-06,3.15E-08,1.99E-05,3.23E-06
ER-MZA1,Mid,MZT1-1-M,6/4/19,10:40,8.23,424,4.8,,0.186,1.867,0.0012,0.0202,0.192,0,2.10E-08,5.58E-10,1.00E-03,1.67E-05,9.29E-08,1.92E-08,1.97E-06,1.75E-08,8.00E-06,1.16E-06
ER-MZA1,Mid,MZT1-1-M,6/10/19,9:40,8.05,225,2.9,,0.209,1.884,0.0011,0.0099,0.151,0,6.88E-09,5.84E-10,9.16E-04,1.03E-05,0,0,1.77E-06,9.56E-09,7.72E-06,5.73E-07
ER-MZA1,Mid,MZT1-1-M,6/19/19,11:00,7.76,215,4.2,,0.147,1.836,0.0013,0.031,0.159,0,1.09E-08,6.36E-10,7.45E-04,9.54E-06,3.94E-07,4.43E-07,1.32E-06,1.10E-08,6.24E-06,9.09E-07
ER-MZA1,Mid,MZT1-1-M,6/24/19,9:25,7.76,218,4.5,,0.12,1.761,0.0008,0.0112,0.169,0,7.37E-09,6.82E-10,7.70E-04,1.02E-05,6.47E-08,2.17E-08,1.34E-06,1.55E-08,6.24E-06,1.04E-06
ER-MZA1,Mid,MZT1-1-M,7/2/19,9:40,7.95,199.5,4.7,,0.096,1.575,0.0008,0.0056,0.148,0,1.02E-08,2.95E-10,6.75E-04,2.53E-06,9.61E-08,2.37E-08,1.23E-06,1.35E-08,5.92E-06,7.89E-07
ER-MZA1,Mid,MZT1-1-M,7/5/19,,,,,,,,,,,,6.05E-08,1.21E-09,9.14E-04,5.15E-06,0,0,1.75E-06,2.33E-08,3.92E-06,1.42E-06
ER-MZA1,Mid,MZT1-1-M,7/9/19,9:10,7.82,207,4,,0.066,1.624,0.0008,0.0048,0.181,0,1.46E-08,8.52E-10,8.31E-04,7.56E-06,1.15E-07,2.51E-08,1.48E-06,9.51E-09,5.98E-06,8.51E-07
ER-MZA1,Mid,MZT1-1-M,7/16/19,10:55,7.81,211,3.3,,0.042,1.631,0.0011,0.0045,0.197,0,1.92E-08,4.51E-10,8.24E-04,7.76E-06,1.35E-07,2.51E-08,1.49E-06,5.74E-09,6.61E-06,9.64E-07
ER-MZA1,Mid,MZT1-1-M,7/25/19,9:30,7.47,225,2.2,,0.078,1.733,0.0017,0.0055,0.2265,0,1.85E-08,4.52E-10,8.36E-04,4.44E-06,2.25E-07,3.20E-07,1.65E-06,1.63E-08,3.04E-06,1.37E-06
ER-MZA1,Mid,MZT1-1-M,8/5/19,9:35,7.71,241,1.4,,0.038,1.773,0.0019,0.005,0.2584,0,,,,,,,,,,
ER-MZA1,Mid,MZT1-1-M,8/12/19,14:40,7.66,285,0.347,,0.115,1.928,0.006,0.0057,0.289,0,1.47E-07,1.94E-09,1.06E-03,6.54E-06,0,0,2.03E-06,1.29E-08,5.06E-06,1.54E-06
ER-MZA1,Shallow,MZT1-1-S,6/10/19,9:40,8.1,248,3.6,,0.29,2.047,0.0009,0.0092,0.152,0,8.04E-08,1.99E-09,1.07E-03,8.84E-06,4.63E-07,3.03E-07,1.84E-06,8.74E-09,7.65E-06,5.96E-07
ER-MZA1,Shallow,MZT1-1-S,6/19/19,11:00,7.61,269,1.1,,0.279,2.385,0.0014,0.0094,0.159,0,4.84E-07,8.60E-09,1.09E-03,1.66E-05,2.23E-07,2.29E-08,1.87E-06,3.81E-08,6.34E-06,9.70E-07
ER-MZA1,Shallow,MZT1-1-S,7/2/19,9:40,7.49,338,0.289,,0.245,2.914,0.0011,0.0085,0.156,0,4.10E-07,5.16E-09,1.27E-03,6.81E-06,2.16E-07,2.31E-08,2.06E-06,3.91E-08,6.75E-06,8.25E-07
ER-MZA1,Shallow,MZT1-1-S,7/9/19,9:10,7.53,295,0.308,,0.439,2.412,0.0039,0.0072,0.166,0,4.01E-07,1.07E-08,1.16E-03,1.59E-05,3.44E-07,2.67E-08,1.95E-06,1.08E-08,7.00E-06,1.00E-06
ER-MZA1,Shallow,MZT1-1-S,7/16/19,10:55,7.66,293,0.551,,0.178,2.564,0.0015,0.004,0.193,0,3.60E-07,5.67E-09,1.24E-03,7.00E-06,2.48E-07,4.84E-09,2.10E-06,2.16E-08,2.83E-06,8.95E-07
ER-MZA1,Xdeep,MZT1-1-XD,5/15/19,,,,,,0.135,2.806,0.0015,0.0142,0.469,0,4.97E-07,1.00E-08,1.75E-03,3.33E-05,1.14E-06,1.19E-08,2.71E-06,3.40E-08,1.86E-05,2.58E-06
ER-MZA1,Xdeep,MZT1-1-XD,6/4/19,11:20,8.33,501,2.5,,0.137,2.208,0,,0.217,0.0042,9.39E-08,2.41E-09,1.16E-03,1.85E-05,1.94E-07,1.60E-08,2.04E-06,1.04E-08,9.02E-06,1.17E-06
ER-MZA1,Xdeep,MZT1-1-XD,6/10/19,10:15,8.12,221,2.2,,0.141,2.032,0.0014,0.0116,0.151,0.0039,7.33E-08,1.32E-09,9.56E-04,7.79E-06,4.23E-07,2.74E-08,1.67E-06,1.89E-08,8.80E-06,7.49E-07
ER-MZA1,Xdeep,MZT1-1-XD,6/19/19,11:00,7.82,211,3.3,,0.108,1.762,0.0016,0.0064,0.163,0.0034,6.85E-08,1.04E-09,7.52E-04,1.34E-05,0,0,1.25E-06,2.43E-08,6.71E-06,7.91E-07
ER-MZA1,Xdeep,MZT1-1-XD,6/24/19,9:25,8.09,223,2.9,,0.084,1.829,0.0012,0.0083,0.163,0.0031,3.74E-08,3.80E-09,8.19E-04,8.02E-05,2.16E-07,2.62E-08,1.45E-06,2.13E-08,6.90E-06,9.60E-07
ER-MZA1,Xdeep,MZT1-1-XD,7/2/19,9:40,8.13,211,3.7,,0.068,1.658,0.0011,0.0054,0.161,0.003,3.46E-08,1.30E-09,8.05E-04,1.56E-05,5.85E-07,3.54E-08,1.34E-06,1.15E-08,6.77E-06,8.97E-07
ER-MZA1,Xdeep,MZT1-1-XD,7/9/19,9:10,8.27,216,2.8,,0.189,1.53,0.0042,0.0061,0.184,0.0025,4.37E-08,1.48E-09,7.57E-04,7.79E-06,0,0,1.27E-06,1.30E-08,7.59E-06,9.98E-07
ER-MZA1,Xdeep,MZT1-1-XD,7/16/19,10:55,8.24,211,4,,0.041,1.601,0.0011,0.0042,0.198,0.0023,3.44E-08,9.47E-10,7.47E-04,7.07E-06,6.67E-08,2.55E-08,1.25E-06,1.91E-08,7.87E-06,1.22E-06
ER-MZA1,Xdeep,MZT1-1-XD,7/25/19,9:30,8.05,221,2.6,,0.075,1.749,0.0021,0.0052,0.2269,0.0025,6.57E-08,9.81E-10,8.44E-04,7.74E-06,1.04E-06,5.29E-07,1.52E-06,2.70E-08,3.50E-06,1.31E-06
ER-MZA1,Xdeep,MZT1-1-XD,8/5/19,9:35,8.31,240,2.1,,0.051,1.728,0.0018,0.0063,0.2511,0.0021,4.28E-08,6.56E-10,8.84E-04,8.87E-06,0,0,1.59E-06,1.21E-08,4.19E-06,1.71E-06
ER-MZA1,Xdeep,MZT1-1-XD,8/12/19,14:40,8.33,260,0.301,,0.108,1.691,0.0021,0.0056,0.2679,0.0012,1.01E-07,2.67E-09,9.17E-04,5.49E-06,1.14E-07,2.86E-09,1.73E-06,1.38E-08,4.63E-06,1.67E-06
ER-MZA1,Xdeep,MZT1-1-XD,8/28/19,10:00,7.81,320,0.205,,0.061,2.495,0.0009,0.0073,0.3725,0,2.07E-07,4.37E-09,1.28E-03,1.47E-05,4.45E-07,6.51E-09,2.36E-06,1.50E-08,1.39E-05,2.21E-06
ER-MZA1,Xdeep,MZT1-1-XD,9/17/19,16:20,7.99,362,0.262,,0.03,3.014,0,0.0071,0.3824,0,3.16E-07,5.98E-09,1.40E-03,1.45E-05,8.34E-07,8.63E-09,2.78E-06,3.82E-08,1.32E-05,1.98E-06
ER-MZA1,Xdeep,MZT1-1-XD,10/1/19,10:00,7.84,369,0.178,,0.031,3.079,0,0.0081,0.3689,0,3.29E-07,7.63E-09,1.43E-03,1.16E-05,1.08E-06,1.40E-08,2.75E-06,2.73E-08,1.32E-05,2.35E-06
ER-MZA1,XXdeep,MZT1-1-XXD,5/15/19,,,,,,0.098,1.328,0.0019,0.0063,0.365,0,2.75E-08,1.59E-09,9.48E-04,5.00E-06,6.49E-08,7.40E-09,1.80E-06,2.44E-08,1.61E-05,2.14E-06
ER-MZA1,XXdeep,MZT1-1-XXD,6/4/19,11:30,,,,,0.057,2.355,0.0008,0.0005,0.351,0,1.11E-07,2.51E-09,1.34E-03,1.93E-05,1.98E-07,1.50E-08,2.47E-06,1.98E-08,1.46E-05,2.18E-06
ER-MZA1,XXdeep,MZT1-1-XXD,6/10/19,10:15,8.21,280,0.226,,0.067,2.38,0.0018,0.0135,0.211,0,2.24E-07,2.62E-09,1.10E-03,7.97E-06,8.34E-06,7.47E-08,1.45E-06,1.74E-08,1.17E-05,9.75E-07
ER-MZA1,XXdeep,MZT1-1-XXD,6/19/19,11:00,7.7,255,1.1,,0.047,2.235,0.0023,0.0072,0.224,0,1.77E-07,4.00E-09,9.52E-04,1.62E-05,4.78E-06,8.91E-08,1.14E-06,2.21E-08,1.01E-05,1.39E-06
ER-MZA1,XXdeep,MZT1-1-XXD,6/24/19,9:25,8.03,319,1.5,,0.021,2.695,0.0018,0.0071,0.334,0,2.08E-07,3.35E-09,1.28E-03,1.30E-05,1.32E-05,1.87E-07,1.52E-06,3.62E-08,1.24E-05,1.65E-06
ER-MZA1,XXdeep,MZT1-1-XXD,7/2/19,9:40,8.05,299,1.6,,0.045,2.359,0.0021,0.0083,0.275,0.0017,2.63E-07,5.65E-09,1.09E-03,6.03E-06,6.44E-06,4.62E-08,1.46E-06,1.62E-08,9.93E-06,1.43E-06
ER-MZA1,XXdeep,MZT1-1-XXD,7/9/19,9:10,7.94,378,0.438,,0.085,2.983,0.0058,0.0054,0.393,0,2.48E-07,7.73E-09,1.38E-03,9.13E-06,1.58E-05,1.07E-07,1.71E-06,2.51E-08,1.27E-05,1.73E-06
ER-MZA1,XXdeep,MZT1-1-XXD,7/16/19,10:55,7.96,380,0.26,,0.015,3.081,0.0023,0.0052,0.399,0,2.43E-07,5.14E-09,1.34E-03,7.08E-06,1.25E-05,1.16E-07,1.60E-06,2.13E-08,1.32E-05,2.12E-06
ER-MZA1,XXdeep,MZT1-1-XXD,7/25/19,9:30,7.85,375,0.42,,0.029,2.814,0.0031,0.0077,0.3908,0,3.43E-07,7.82E-09,1.42E-03,1.58E-05,1.67E-05,1.48E-07,1.73E-06,2.57E-08,1.00E-05,2.33E-06
ER-MZA1,XXdeep,MZT1-1-XXD,8/5/19,9:35,8.04,375,0.401,,0.018,2.667,0.0037,0.0058,0.3747,0.0008,2.65E-07,5.25E-09,1.39E-03,1.51E-05,1.96E-05,7.49E-08,1.70E-06,2.04E-08,9.58E-06,2.18E-06
ER-MZA1,XXdeep,MZT1-1-XXD,8/12/19,14:40,8.34,393,0.231,,0.062,2.823,0.0035,0.0061,0.3847,0,2.74E-07,2.48E-09,1.42E-03,1.46E-05,2.23E-05,2.17E-07,1.66E-06,2.17E-08,1.01E-05,2.13E-06
ER-MZA1,XXdeep,MZT1-1-XXD,8/28/19,10:00,7.99,356,0.505,,0.133,2.777,0.0026,0.0055,0.3921,0.0007,3.21E-07,7.39E-09,1.42E-03,9.42E-06,2.14E-05,1.98E-07,1.70E-06,1.52E-08,1.70E-05,2.22E-06
ER-MZA1,XXdeep,MZT1-1-XXD,9/17/19,16:20,8.15,374,0.342,,0.021,2.864,0.0029,0.0066,0.3795,0,3.11E-07,6.46E-09,1.37E-03,1.22E-05,2.00E-05,2.57E-07,1.68E-06,1.62E-08,1.50E-05,1.96E-06
ER-MZA1,XXdeep,MZT1-1-XXD,10/1/19,10:10,7.82,365,0.133,,0.077,2.826,0.0024,0.0054,0.3691,0,2.85E-07,5.56E-09,1.36E-03,1.01E-05,2.18E-05,1.65E-07,1.70E-06,1.31E-08,1.39E-05,2.01E-06
ER-MZA2,Deep,MZT1-2-D,5/15/19,,,,,,0.168,3.764,0.0025,0.021,0.571,0,6.74E-07,1.53E-08,2.32E-03,2.37E-05,1.17E-07,7.12E-09,2.73E-06,2.86E-08,2.08E-05,3.39E-06
ER-MZA2,Deep,MZT1-2-D,6/4/19,11:40,7.89,674,0.296,,0.073,3.314,0.0007,0.0178,0.407,0,1.09E-06,1.74E-08,1.80E-03,3.05E-05,3.01E-07,1.83E-08,2.53E-06,2.97E-08,1.69E-05,2.48E-06
ER-MZA2,Deep,MZT1-2-D,6/10/19,10:41,7.91,365,0.154,,0.064,3.006,0,0.0245,0.342,0,1.12E-06,8.02E-09,1.59E-03,8.43E-06,4.08E-07,4.44E-08,2.02E-06,2.39E-08,1.44E-05,1.99E-06
ER-MZA2,Deep,MZT1-2-D,6/19/19,12:00,7.65,316,0.042,,0.043,2.903,0.0016,0.0132,0.249,0,8.15E-07,1.04E-08,1.14E-03,1.46E-05,2.68E-07,2.29E-08,1.49E-06,2.45E-08,9.25E-06,1.12E-06
ER-MZA2,Deep,MZT1-2-D,6/24/19,10:10,7.77,300,0.112,,0.054,2.661,0.0015,0.0109,0.204,0,4.28E-07,9.31E-09,1.04E-03,6.71E-06,2.14E-07,2.39E-08,1.38E-06,2.06E-08,8.47E-06,1.19E-06
ER-MZA2,Deep,MZT1-2-D,7/2/19,10:40,7.88,290,0.078,,0.049,2.488,0.0011,0.0133,0.205,0,1.55E-07,2.24E-09,3.54E-04,4.45E-06,1.69E-07,2.22E-08,4.65E-07,3.92E-09,3.49E-06,3.63E-07
ER-MZA2,Deep,MZT1-2-D,7/9/19,10:00,7.81,280,0.13,,0.038,2.424,0.0014,0.0091,0.192,0,4.66E-07,9.91E-09,9.56E-04,1.51E-05,2.64E-07,2.56E-08,1.31E-06,3.40E-08,8.34E-06,1.11E-06
ER-MZA2,Deep,MZT1-2-D,7/16/19,11:35,7.95,271,0.12,,0.029,2.426,0.0011,0.0062,0.184,0,4.65E-07,1.26E-08,1.02E-03,1.31E-05,2.09E-07,2.19E-08,1.39E-06,2.73E-08,7.99E-06,9.93E-07
ER-MZA2,Deep,MZT1-2-D,7/25/19,10:05,7.84,281,0.127,,0.053,2.445,0.0017,0.007,0.1885,0,8.14E-07,1.49E-08,1.09E-03,1.12E-05,2.55E-07,1.05E-08,1.57E-06,1.31E-08,3.40E-06,1.02E-06
ER-MZA2,Deep,MZT1-2-D,8/5/19,10:05,7.83,295,0.146,,0.039,2.348,0.0017,0.0056,0.2116,0,1.21E-06,2.00E-08,1.10E-03,1.27E-05,2.16E-07,5.01E-09,1.63E-06,1.79E-08,4.21E-06,1.40E-06
ER-MZA2,Deep,MZT1-2-D,8/12/19,15:10,7.39,288,0.171,,0.059,2.37,0.0018,0.0071,0.2599,0,1.64E-06,2.68E-08,1.15E-03,9.63E-06,5.40E-07,9.56E-09,1.63E-06,1.95E-08,5.66E-06,1.46E-06
ER-MZA2,Deep,MZT1-2-D,8/28/19,10:30,7.4,642,0.104,,0.115,2.27,0.0011,0.0081,0.2791,0,1.94E-06,2.58E-08,1.17E-03,1.66E-05,6.04E-07,6.46E-09,1.62E-06,9.53E-09,1.20E-05,1.80E-06
ER-MZA2,Deep,MZT1-2-D,9/17/19,16:50,7.3,765,0.157,,0.03,2.587,0,0.0075,0.3111,0,2.32E-06,5.19E-08,1.22E-03,7.58E-06,9.94E-07,1.03E-08,1.70E-06,2.86E-08,1.17E-05,1.67E-06
ER-MZA2,Deep,MZT1-2-D,10/1/19,10:20,7.74,392,0.134,,0.077,2.728,0,0.0079,0.3317,0,2.79E-06,5.02E-08,1.31E-03,9.23E-06,9.55E-07,7.04E-09,1.88E-06,7.10E-09,1.24E-05,2.03E-06
ER-MZA2,Shallow,MZT1-2-S,5/15/19,,,,,,0.123,3.111,0.0012,0.0055,0.229,0,6.31E-08,1.62E-09,1.80E-03,1.63E-05,2.36E-07,6.34E-09,3.79E-06,5.01E-08,9.49E-06,1.29E-06
ER-MZA2,Shallow,MZT1-2-S,6/4/19,11:40,7.89,682,2,,0.093,3.617,0,0.0166,0.355,0,6.45E-08,1.10E-09,2.04E-03,2.19E-05,4.27E-07,1.96E-08,3.55E-06,2.78E-08,1.31E-05,2.26E-06
ER-MZA2,Shallow,MZT1-2-S,6/10/19,10:41,7.97,364,0.187,,0.062,2.999,0,0.0197,0.334,0,2.45E-08,5.30E-10,1.63E-03,2.18E-05,2.86E-07,1.85E-08,2.36E-06,3.47E-08,1.34E-05,1.58E-06
ER-MZA2,Shallow,MZT1-2-S,6/19/19,12:00,7.77,299,0.126,,0.051,2.656,0.0015,0.0102,0.207,0,2.56E-08,4.49E-10,1.05E-03,7.44E-06,4.18E-07,2.26E-08,1.57E-06,2.32E-08,8.19E-06,1.32E-06
ER-MZA2,Shallow,MZT1-2-S,6/24/19,10:10,7.7,334,0.131,,0.054,2.602,0.0012,0.0081,0.183,0,2.35E-08,6.85E-10,1.03E-03,9.92E-06,2.45E-07,2.20E-08,1.69E-06,1.63E-08,7.24E-06,1.03E-06
ER-MZA2,Shallow,MZT1-2-S,7/2/19,10:40,7.66,307,0.094,,0.049,2.464,0.0014,0.0119,0.189,0,2.23E-08,5.96E-10,5.36E-04,6.55E-06,1.19E-07,2.10E-08,8.83E-07,1.17E-08,6.75E-06,8.98E-07
ER-MZA2,Shallow,MZT1-2-S,7/9/19,10:00,7.6,304,0.314,,0.054,2.629,0.0011,0.0104,0.175,0,1.02E-07,1.73E-09,1.05E-03,1.02E-05,4.96E-07,3.76E-07,1.67E-06,2.39E-08,7.19E-06,1.03E-06
ER-MZA2,Shallow,MZT1-2-S,7/16/19,11:35,7.77,326,0.177,,0.05,2.93,0.0009,0.0081,0.152,0,1.28E-07,2.79E-09,1.09E-03,8.07E-06,3.59E-07,2.31E-08,1.72E-06,2.36E-08,6.96E-06,8.35E-07
ER-MZA2,Shallow,MZT1-2-S,7/25/19,10:05,7.42,366,0.357,,0.077,3.04,0.0017,0.0074,0.1565,0,2.96E-07,4.95E-09,1.38E-03,8.27E-06,1.70E-06,3.70E-07,2.15E-06,3.04E-08,4.04E-06,1.05E-06
ER-MZA2,Shallow,MZT1-2-S,8/5/19,10:05,7.34,438,0.465,,0.049,3.388,0.0018,0.0061,0.1845,0,1.05E-07,1.68E-09,1.72E-03,1.79E-05,6.27E-07,8.36E-09,2.80E-06,8.80E-09,3.47E-06,1.01E-06
ER-MZA2,Xdeep,MZT1-2-XD,5/15/19,,,,,,0.153,3.4,0.003,0.0169,0.577,0,2.95E-07,5.55E-09,2.29E-03,2.62E-05,4.16E-07,8.60E-09,2.61E-06,4.20E-08,2.30E-05,3.66E-06
ER-MZA2,Xdeep,MZT1-2-XD,6/4/19,12:00,8.05,638,0.309,,0.052,2.891,0.004,0.0149,0.382,0,4.79E-07,1.08E-08,1.53E-03,1.81E-05,6.34E-07,1.83E-08,2.13E-06,2.39E-08,1.74E-05,2.44E-06
ER-MZA2,Xdeep,MZT1-2-XD,6/10/19,10:41,7.83,352,0.284,,0.048,2.869,0,0.014,0.347,0,2.46E-07,3.51E-09,1.50E-03,7.92E-06,7.26E-07,1.99E-08,1.81E-06,2.69E-08,1.44E-05,1.89E-06
ER-MZA2,Xdeep,MZT1-2-XD,6/19/19,12:00,7.69,301,0.473,,0.067,2.671,0.002,0.0116,0.24,0,4.61E-07,1.12E-08,1.23E-03,9.51E-06,5.97E-07,1.43E-08,1.58E-06,2.80E-08,1.03E-05,1.07E-06
ER-MZA2,Xdeep,MZT1-2-XD,6/24/19,10:10,7.83,304,0.397,,0.061,2.479,0.0012,0.011,0.222,0,3.85E-07,6.85E-09,1.16E-03,9.50E-06,3.80E-07,8.92E-09,1.49E-06,1.87E-08,9.03E-06,6.15E-07
ER-MZA2,Xdeep,MZT1-2-XD,7/2/19,10:40,7.87,296,0.379,,0.064,2.424,0.0013,0.0105,0.239,0,5.37E-07,1.33E-08,1.17E-03,1.55E-05,3.57E-07,1.86E-08,1.53E-06,7.21E-09,8.93E-06,7.58E-07
ER-MZA2,Xdeep,MZT1-2-XD,7/9/19,10:00,7.9,289,0.636,,0.033,2.341,0.0009,0.0073,0.224,0,1.36E-07,4.03E-09,1.09E-03,1.08E-05,2.04E-07,4.90E-09,1.43E-06,1.71E-08,7.84E-06,8.10E-07
ER-MZA2,Xdeep,MZT1-2-XD,7/16/19,11:35,8.03,285,0.332,,0.032,2.337,0.0014,0.0072,0.226,0,7.19E-08,2.06E-09,1.12E-03,1.50E-05,2.24E-07,1.08E-08,1.43E-06,1.31E-08,7.85E-06,7.98E-07
ER-MZA2,Xdeep,MZT1-2-XD,7/25/19,10:05,7.93,311,0.36,,0.056,2.553,0.0019,0.0081,0.2555,0,1.32E-07,2.06E-09,1.13E-03,1.36E-05,3.73E-07,6.38E-09,1.54E-06,1.98E-08,5.65E-06,1.67E-06
ER-MZA2,Xdeep,MZT1-2-XD,8/5/19,10:05,7.89,312,0.152,,0.032,2.493,0.0017,0.0083,0.286,0,1.18E-07,3.86E-09,1.20E-03,1.78E-05,6.75E-07,7.19E-09,1.62E-06,2.22E-08,7.70E-06,1.98E-06
ER-MZA2,Xdeep,MZT1-2-XD,8/12/19,15:10,7.64,321,0.227,,0.056,2.516,0.0019,0.0066,0.3204,0,1.18E-07,1.64E-09,1.26E-03,8.77E-06,7.53E-07,1.13E-08,1.73E-06,3.13E-08,8.12E-06,1.77E-06
ER-MZA2,Xdeep,MZT1-2-XD,8/28/19,10:30,7.79,337,0.166,,0.063,2.632,0.001,0.007,0.3569,0,1.91E-07,2.36E-09,1.31E-03,1.72E-05,8.91E-07,1.11E-08,1.80E-06,2.07E-08,1.51E-05,2.13E-06
ER-MZA2,Xdeep,MZT1-2-XD,9/17/19,16:50,7.71,379,0.324,,0.13,2.929,0.0032,0.0072,0.3818,0,1.40E-07,2.88E-09,1.43E-03,2.19E-05,9.82E-07,1.45E-08,1.97E-06,1.73E-08,1.47E-05,1.87E-06
ER-MZA2,Xdeep,MZT1-2-XD,10/1/19,10:25,7.75,371,0.202,,0.051,3.008,0,0.0076,0.3507,0,1.39E-07,2.74E-09,1.44E-03,1.84E-05,1.10E-06,7.45E-09,2.06E-06,2.76E-08,1.33E-05,1.93E-06
ER-MZA3,Deep,MZT1-3-D,5/15/19,,,,,,0.16,2.836,0.0016,0.0073,0.129,0,2.09E-08,7.36E-10,1.25E-03,2.11E-05,4.77E-07,1.63E-08,1.70E-06,3.01E-08,7.40E-06,4.44E-07
ER-MZA3,Deep,MZT1-3-D,6/4/19,12:25,7.82,654,0.208,,0.101,3.655,0.0008,0.0103,0.285,0,4.03E-08,1.35E-09,1.86E-03,3.06E-05,2.32E-07,7.27E-08,2.65E-06,2.24E-08,1.15E-05,1.60E-06
ER-MZA3,Deep,MZT1-3-D,6/10/19,11:40,7.77,287,0.805,,0.15,2.556,0.0007,0.011,0.188,0,3.89E-08,1.62E-09,1.29E-03,1.46E-05,6.49E-08,1.33E-08,1.61E-06,2.31E-08,8.63E-06,8.38E-07
ER-MZA3,Deep,MZT1-3-D,6/19/19,12:25,7.76,298,0.134,,0.139,2.793,0.0023,0.0117,0.179,0,8.68E-08,1.87E-09,1.37E-03,1.62E-05,6.44E-08,4.79E-09,1.68E-06,1.79E-08,8.69E-06,5.67E-07
ER-MZA3,Deep,MZT1-3-D,6/24/19,11:00,7.63,344,0.166,,0.156,3.255,0.0013,0.0117,0.166,0,1.45E-07,4.59E-09,1.56E-03,2.46E-05,2.05E-07,5.84E-09,1.94E-06,2.33E-08,9.28E-06,2.17E-07
