Well,Date,Time,pH,Cond,ORP,Temp,DO,TC,NPOC,TIC,NH4,Cl,NO2,SO4,NO3,Li,sd,Be,sd,B,sd,Na,sd,Mg,sd,Al,sd,Si,sd,Si-1,sd,K,sd,V,sd,Cr,sd,Mn,sd,Ca,sd,Fe,sd,Se,sd,SeO,sd,Ti,sd,Ni,sd,Co,sd,Cu,sd,Zn,sd,Ge,sd,As,sd,Rb,sd,Sr,sd,Zr,sd,Mo,sd,Ag,sd,Cd,sd,Sn,sd,Sb,sd,Cs,sd,Ba,sd,Eu,sd,Pb,sd,Th,sd,U,sd,PO,sd,AsO,sd
MCP1-1D,9/24/19,,,,,,,3.98,0.33,3.65,0.0042,0.266,,0.285,,5.32E-07,4.51E-08,,,,,1.28E-04,1.61E-06,4.34E-04,7.76E-06,,,1.74E-04,3.51E-06,1.58E-04,1.06E-06,1.29E-05,1.59E-07,,,,,2.40E-05,4.09E-07,1.78E-03,1.79E-05,8.55E-05,1.05E-06,,,,,,,2.71E-08,2.97E-09,,,,,2.09E-07,1.07E-08,,,3.96E-08,1.20E-09,2.71E-09,1.23E-10,2.72E-06,2.18E-08,,,1.45E-08,8.27E-10,,,,,,,,,,,1.68E-06,1.57E-08,,,,,,,,,1.30E-05,1.43E-06,3.90E-08,1.25E-09
MCP1-1D,10/23/19,,7.52,429.1,-118,,,3.82,0.85,2.97,0.0358,0.2436,,0.3062,,4.66E-07,4.14E-08,,,,,1.61E-04,2.17E-06,4.22E-04,8.54E-06,,,1.63E-04,3.00E-06,1.48E-04,5.89E-07,2.98E-05,5.31E-07,,,,,2.26E-05,5.31E-07,1.70E-03,2.05E-05,7.36E-05,6.82E-07,,,,,,,4.31E-08,4.73E-09,,,4.77E-08,1.55E-09,5.40E-07,1.39E-08,,,3.51E-08,8.68E-10,9.29E-09,2.64E-10,2.64E-06,4.79E-08,,,1.32E-08,8.60E-10,,,,,,,,,,,1.57E-06,2.36E-08,,,,,,,,,1.35E-05,1.60E-06,3.30E-08,9.75E-10
MCP1-2D,6/1/19,14:15,7.49,295,-108,15.2,,2.76,0.47,2.29,0.0088,0.1933,,0.0601,,,,,,,,1.78E-04,3.71E-06,2.59E-04,5.14E-06,,,1.40E-04,4.37E-06,1.19E-04,1.30E-06,1.18E-05,2.69E-07,,,1.00E-08,1.03E-09,1.83E-05,2.98E-07,1.06E-03,8.88E-06,1.05E-04,1.01E-06,,,,,,,2.56E-08,2.41E-09,,,4.59E-09,8.87E-10,2.30E-06,1.69E-08,,,,,5.12E-09,2.41E-10,1.49E-06,2.46E-08,,,1.11E-08,7.06E-10,,,,,,,,,,,1.01E-06,7.77E-09,,,,,,,,,6.07E-06,2.24E-07,,
MCP1-2D,6/7/19,12:40,7.48,289,-101,11.6,,3.16,0.5,2.67,0.0094,0.1807,,0.0461,0.0005,,,,,,,1.81E-04,3.20E-06,2.70E-04,6.46E-06,,,1.40E-04,4.01E-06,1.32E-04,1.68E-06,1.90E-05,2.81E-07,4.71E-09,3.06E-10,1.31E-08,3.14E-10,1.98E-05,2.47E-07,1.06E-03,1.29E-05,1.11E-04,1.48E-06,,,,,,,3.42E-08,1.83E-09,,,1.81E-08,7.62E-10,1.91E-06,3.50E-08,,,,,7.11E-09,1.32E-10,1.72E-06,2.03E-08,,,1.49E-08,1.01E-09,,,,,,,,,,,1.17E-06,1.07E-08,,,,,,,,,5.66E-06,2.51E-07,,
MCP1-2D,6/14/19,16:00,7.29,311,-111,8.1,,3.45,0.5,2.95,0.0089,0.1178,,0.0427,0.0005,,,,,,,1.81E-04,4.11E-06,2.84E-04,5.96E-06,,,1.47E-04,4.57E-06,1.39E-04,1.07E-06,1.44E-05,1.95E-07,5.41E-09,2.46E-10,1.55E-08,5.07E-10,2.08E-05,9.39E-08,1.14E-03,1.63E-05,1.20E-04,8.55E-07,,,,,,,3.18E-08,2.15E-09,,,2.10E-08,8.54E-10,1.30E-06,2.63E-08,,,,,6.20E-09,3.43E-10,1.80E-06,3.24E-08,,,1.29E-08,5.40E-10,,,,,,,,,,,1.25E-06,8.47E-09,,,,,,,,,5.76E-06,1.82E-07,,
MCP1-2D,6/24/19,15:11,7.34,309,-93,10.6,,3.5,0.5,3.01,0.013,0.1081,,0.053,,,,,,,,1.70E-04,4.31E-06,2.86E-04,8.11E-06,,,1.46E-04,3.20E-06,1.41E-04,9.61E-07,1.41E-05,2.63E-07,4.81E-09,3.77E-10,1.85E-08,4.91E-10,2.31E-05,3.93E-07,1.16E-03,1.43E-05,1.14E-04,7.54E-07,,,,,,,3.06E-08,3.46E-09,,,4.56E-09,8.59E-10,1.09E-06,2.10E-08,,,,,6.00E-09,2.63E-10,1.84E-06,2.09E-08,,,1.31E-08,6.07E-10,,,,,,,,,,,1.31E-06,1.06E-08,,,,,,,,,5.89E-06,1.75E-07,,
MCP1-2D,7/1/19,14:41,7.13,327,-98,10.9,,3.69,0.46,3.23,0.0106,0.2004,,0.0374,0.0005,,,,,,,1.95E-04,2.45E-06,3.26E-04,6.25E-06,,,1.57E-04,3.05E-06,1.48E-04,1.27E-06,3.01E-05,6.95E-07,5.57E-09,2.53E-10,3.80E-08,1.04E-09,2.30E-05,5.61E-07,1.25E-03,6.41E-06,1.19E-04,8.52E-07,,,,,,,5.48E-08,5.07E-09,5.21E-09,6.93E-10,8.66E-08,1.71E-09,1.67E-06,1.76E-08,,,6.56E-09,9.08E-10,1.15E-08,3.01E-10,2.02E-06,3.81E-08,,,1.16E-08,6.40E-10,,,,,,,,,,,1.36E-06,1.32E-08,,,,,,,,,6.12E-06,1.57E-07,,
MCP1-2D,7/11/19,16:24,7.2,306,-109,8.7,,3.93,0.45,3.48,0.0119,0.121,,0.0341,,,,,,,,1.74E-04,2.61E-06,3.31E-04,6.83E-06,,,1.57E-04,3.41E-06,1.50E-04,8.42E-07,1.63E-05,3.10E-07,4.66E-09,2.92E-10,9.63E-08,2.91E-09,2.46E-05,4.96E-07,1.27E-03,9.55E-06,1.15E-04,1.05E-06,,,,,,,5.50E-08,2.38E-09,,,2.54E-08,6.68E-10,1.56E-06,2.63E-08,,,,,6.83E-09,2.17E-10,2.03E-06,2.30E-08,,,1.20E-08,3.78E-10,,,,,,,,,,,1.43E-06,1.53E-08,,,,,,,,,5.88E-06,2.01E-07,,
MCP1-2D,7/17/19,15:51,7.31,346,-114,9.2,,,0.46,,0.0151,,,,,,,,,,,1.76E-04,4.81E-06,3.87E-04,8.67E-06,,,1.65E-04,3.75E-06,1.56E-04,2.38E-06,1.70E-05,1.85E-07,,,3.50E-08,7.72E-10,2.97E-05,4.96E-07,1.46E-03,9.68E-06,1.40E-04,5.49E-07,,,,,,,3.63E-08,2.15E-09,,,1.30E-08,1.14E-09,2.10E-06,3.82E-08,,,,,7.66E-09,4.32E-10,2.33E-06,3.95E-08,,,1.09E-08,6.48E-10,,,,,,,,,,,1.63E-06,1.27E-08,,,,,,,,,5.99E-06,3.55E-07,,
MCP1-2D,7/22/19,13:40,6.96,358,-81,9.4,,4.59,0.41,4.17,0.0104,0.1498,,0.0302,0.0005,,,,,,,1.66E-04,5.68E-06,3.63E-04,1.24E-05,,,1.63E-04,7.15E-06,1.57E-04,1.31E-06,1.46E-05,2.27E-07,,,3.60E-08,1.18E-09,2.62E-05,1.59E-06,1.38E-03,1.19E-05,9.35E-05,8.80E-07,,,,,,,3.15E-08,2.08E-09,,,6.35E-09,1.13E-09,2.33E-06,5.80E-08,,,,,6.80E-09,3.27E-10,2.19E-06,4.00E-08,,,1.04E-08,5.71E-10,,,,,,,,,,,1.49E-06,1.77E-08,,,,,,,,,6.05E-06,2.08E-07,,
