Well,Date,Time,pH,Cond,ORP,Temp,DO,TC,NPOC,TIC,NH4,Cl,NO2,SO4,NO3,Li,sd,Be,sd,B,sd,Na,sd,Mg,sd,Al,sd,Si,sd,Si-1,sd,K,sd,V,sd,Cr,sd,Mn,sd,Ca,sd,Fe,sd,Se,sd,SeO,sd,Ti,sd,Ni,sd,Co,sd,Cu,sd,Zn,sd,Ge,sd,As,sd,Rb,sd,Sr,sd,Zr,sd,Mo,sd,Ag,sd,Cd,sd,Sn,sd,Sb,sd,Cs,sd,Ba,sd,Eu,sd,Pb,sd,Th,sd,U,sd,PO,sd,AsO,sd
MCT2-1M,6/14/19,13:40,7.43,283,67,8.3,,2.5,0.29,2.21,0.0021,0.0187,,0.1526,0.0014,,,,,,,1.07E-04,2.60E-06,1.85E-04,5.67E-06,,,9.25E-05,3.75E-06,9.16E-05,1.32E-06,1.18E-05,1.06E-07,,,9.59E-09,6.87E-10,7.91E-07,1.50E-08,1.12E-03,1.17E-05,8.24E-07,9.88E-09,,,,,,,4.54E-08,2.62E-09,,,1.52E-08,1.40E-09,2.65E-07,8.32E-09,,,,,3.30E-09,2.85E-10,1.69E-06,2.69E-08,1.99E-09,3.85E-09,2.11E-08,7.73E-10,,,,,,,,,,,3.11E-07,5.43E-09,,,,,,,1.95E-09,1.97E-10,7.13E-06,1.05E-06,,
MCT2-1M,6/24/19,12:05,7.57,275,11,7.8,,2.96,0.32,2.63,0.0052,0.0149,,0.1485,,,,,,,,8.07E-05,1.94E-06,1.97E-04,3.88E-06,,,1.05E-04,3.20E-06,1.05E-04,7.42E-07,1.36E-05,2.52E-07,,,7.29E-09,6.17E-10,1.61E-06,2.30E-08,1.27E-03,2.38E-05,2.31E-06,2.11E-08,,,,,,,4.57E-08,4.30E-09,5.15E-09,5.55E-10,1.60E-08,8.42E-10,2.66E-07,1.19E-08,,,1.02E-08,5.31E-10,3.25E-09,3.52E-10,1.93E-06,3.31E-08,,,3.67E-08,9.09E-10,,,,,,,,,,,3.40E-07,2.23E-09,,,,,,,2.18E-09,1.41E-10,7.90E-06,1.01E-06,,
MCT2-1M,7/1/19,11:25,7.76,236,-27,8.4,,2.45,0.31,2.14,0.0046,0.0096,,0.1531,0.0009,,,,,,,5.84E-05,1.67E-06,1.75E-04,5.43E-06,,,8.66E-05,2.56E-06,8.66E-05,6.40E-07,1.60E-05,2.68E-07,,,7.87E-09,2.66E-10,5.64E-07,1.21E-08,1.09E-03,1.13E-05,7.73E-07,6.30E-09,,,,,,,3.91E-08,3.47E-09,,,1.99E-08,1.24E-09,2.49E-07,1.03E-08,,,,,4.25E-09,3.35E-10,1.68E-06,2.38E-08,,,2.56E-08,1.26E-09,,,,,,,,,,,3.15E-07,3.07E-09,,,,,,,2.01E-09,1.05E-10,6.99E-06,9.80E-07,,
MCT2-1M,7/11/19,12:26,7.04,253,-32,10.3,,3.02,0.4,2.62,0.0073,0.0115,,0.1484,0.0005,,,,,,,8.05E-05,1.31E-06,1.82E-04,4.13E-06,,,1.09E-04,2.87E-06,1.09E-04,1.64E-06,1.47E-05,2.20E-07,,,,,2.98E-06,6.63E-08,1.25E-03,9.89E-06,4.27E-06,6.71E-08,,,,,,,3.48E-08,5.98E-09,6.46E-09,2.52E-10,1.09E-08,2.72E-09,2.88E-07,2.32E-08,,,1.62E-08,1.74E-09,6.63E-09,5.45E-10,2.02E-06,2.43E-08,,,3.91E-08,2.36E-09,,,,,,,,,,,3.56E-07,6.96E-09,,,,,,,1.54E-09,5.00E-11,8.48E-06,4.62E-07,,
MCT2-1M,7/17/19,12:04,7.31,290,-88,11.7,,3.22,0.37,2.85,0.01,0.0122,,0.1358,0.0005,,,,,,,9.18E-05,2.53E-06,1.95E-04,4.04E-06,,,1.22E-04,3.11E-06,1.19E-04,2.00E-06,1.91E-05,3.81E-07,,,3.24E-08,1.74E-08,4.13E-06,7.95E-08,1.33E-03,2.52E-05,7.60E-06,1.22E-07,,,,,,,6.67E-08,2.66E-09,7.82E-09,6.92E-10,2.41E-08,3.03E-09,2.54E-07,1.79E-08,,,2.15E-08,2.03E-09,7.08E-09,4.78E-10,2.07E-06,2.46E-08,,,4.33E-08,1.80E-09,,,,,,,,,,,3.99E-07,7.23E-09,,,6.56E-09,4.46E-10,,,1.77E-09,1.55E-10,8.53E-06,5.14E-07,,
MCT2-1M,7/22/19,11:50,7.15,299,-66,14.5,,3.72,0.34,3.38,0.0073,0.0132,,0.1208,0.0005,,,,,,,9.84E-05,2.60E-06,2.15E-04,4.11E-06,,,1.39E-04,3.27E-06,1.35E-04,1.62E-06,2.10E-05,3.00E-07,,,,,4.82E-06,1.00E-07,1.50E-03,1.32E-05,1.50E-05,2.08E-07,,,,,,,4.01E-08,7.24E-09,8.06E-09,5.22E-10,2.41E-08,2.83E-09,3.08E-07,8.84E-09,,,2.96E-08,1.71E-09,7.03E-09,3.25E-10,2.31E-06,1.19E-08,,,4.11E-08,2.38E-09,,,,,,,,,,,4.12E-07,5.77E-09,,,,,,,1.63E-09,1.49E-10,9.20E-06,3.44E-07,,
MCT2-1S,6/7/19,13:00,7.4,363,16,11.4,,4.02,0.41,3.61,0.0015,0.0481,,0.1463,0.0005,,,,,,,3.79E-04,6.06E-06,2.37E-04,3.77E-06,,,1.22E-04,2.19E-06,1.22E-04,1.04E-06,6.56E-06,1.05E-07,,,8.85E-08,4.55E-09,4.09E-06,4.77E-08,1.43E-03,2.06E-05,5.02E-06,7.62E-08,,,,,,,5.44E-08,5.52E-09,4.64E-09,5.53E-10,2.07E-08,1.24E-09,2.79E-07,9.65E-09,,,,,2.55E-09,2.24E-10,2.18E-06,7.16E-08,,,2.49E-08,1.22E-09,,,,,,,,,,,7.14E-07,8.43E-09,,,,,,,2.35E-09,1.87E-10,8.07E-06,1.03E-06,,
MCT2-1S,6/14/19,13:40,7.46,275,105,8.7,,2.81,0.32,2.5,0.003,0.0163,,0.1571,0.0005,,,,,,,1.26E-04,2.72E-06,1.83E-04,4.73E-06,,,9.61E-05,2.34E-06,9.38E-05,1.71E-06,5.03E-06,7.11E-08,,,3.50E-08,1.38E-09,2.09E-06,4.22E-08,1.13E-03,9.86E-06,2.78E-06,2.76E-08,,,,,,,4.51E-08,2.63E-09,,,2.00E-08,1.22E-09,2.60E-07,1.17E-08,,,,,1.88E-09,2.45E-10,1.73E-06,1.78E-08,,,2.74E-08,1.05E-09,,,,,,,,,,,4.95E-07,8.11E-09,,,,,,,1.66E-09,9.30E-11,7.21E-06,7.96E-07,,
MCT2-1S,6/24/19,11:55,7.65,387,-4,7.9,,2.96,0.26,2.7,0.0038,0.0159,,0.1499,0.0005,,,,,,,8.55E-05,1.99E-06,1.99E-04,2.61E-06,,,9.67E-05,1.44E-06,9.57E-05,1.03E-06,5.99E-06,1.10E-07,,,1.28E-08,5.38E-10,2.22E-06,4.82E-08,1.24E-03,5.96E-06,3.60E-06,2.01E-08,,,,,,,4.20E-08,2.81E-09,3.34E-09,5.79E-10,1.54E-08,1.17E-09,3.84E-07,1.48E-08,,,5.40E-09,4.79E-10,2.35E-09,1.45E-10,2.00E-06,9.55E-09,,,3.01E-08,1.11E-09,,,,,8.66E-09,7.52E-10,,,,,6.04E-07,4.49E-09,,,,,,,2.07E-09,1.57E-10,7.04E-06,8.68E-07,,
MCT2-1S,7/1/19,11:23,7.7,267,-118,9.2,,2.54,0.23,2.31,0.0027,0.0088,,0.1542,0.0011,,,,,,,7.12E-05,1.06E-06,1.69E-04,4.09E-06,,,8.59E-05,2.61E-06,8.71E-05,6.62E-07,7.72E-06,1.42E-07,,,2.04E-08,6.72E-10,6.68E-07,8.43E-09,1.08E-03,1.03E-05,9.15E-07,1.70E-08,,,,,,,3.67E-08,2.09E-09,,,2.02E-08,1.59E-09,2.05E-07,1.03E-08,,,,,2.96E-09,3.41E-10,1.72E-06,2.76E-08,,,2.94E-08,7.47E-10,,,,,,,,,,,4.19E-07,6.53E-09,,,,,,,1.69E-09,1.35E-10,6.68E-06,8.65E-07,,
MCT2-1S,7/11/19,12:19,7.21,277,-34,10.7,,3.32,0.29,3.03,0.0043,0.0125,,0.1435,0.0005,,,,,,,9.64E-05,1.83E-06,2.15E-04,5.86E-06,,,1.12E-04,2.84E-06,1.12E-04,5.44E-07,2.49E-05,3.97E-07,,,3.46E-08,2.71E-09,2.26E-06,3.92E-08,1.37E-03,1.15E-05,2.69E-06,2.92E-08,,,,,,,8.78E-08,2.88E-09,8.23E-09,6.72E-10,1.00E-07,9.15E-10,5.76E-07,1.13E-08,,,7.15E-09,4.27E-10,7.70E-09,2.55E-10,2.16E-06,4.26E-08,,,3.50E-08,7.63E-10,,,,,,,,,,,5.79E-07,1.02E-08,,,,,,,2.00E-09,1.59E-10,7.54E-06,8.48E-07,,
MCT2-1S,7/17/19,12:21,7.54,306,-59,12.1,,3.75,0.31,3.44,0.0088,0.0118,,0.1303,0.0005,,,,,,,7.38E-05,2.23E-06,2.41E-04,4.83E-06,,,1.24E-04,3.08E-06,1.25E-04,1.27E-06,7.78E-06,1.62E-07,,,6.68E-09,3.48E-10,3.79E-06,8.26E-08,1.58E-03,1.87E-05,3.91E-06,3.32E-08,,,,,,,5.82E-08,3.19E-09,6.71E-09,6.79E-10,1.14E-08,8.24E-10,2.00E-07,7.79E-09,,,8.43E-09,7.92E-10,3.19E-09,2.76E-10,2.50E-06,4.24E-08,,,3.57E-08,1.37E-09,,,,,,,,,,,6.85E-07,1.00E-08,,,,,,,2.20E-09,8.51E-11,7.47E-06,7.85E-07,,
MCT2-1S,7/22/19,11:55,7.23,314,-22,14.4,,3.77,0.23,3.55,0.0025,0.0137,,0.1324,,,,,,,,7.09E-05,7.31E-07,2.42E-04,3.44E-06,,,1.24E-04,1.82E-06,1.26E-04,1.14E-06,7.80E-06,2.22E-07,,,,,3.92E-06,4.37E-08,1.59E-03,1.03E-05,1.43E-06,1.56E-08,,,,,,,5.66E-08,3.12E-09,6.55E-09,6.58E-10,8.63E-09,1.39E-09,2.76E-07,9.99E-09,,,6.82E-09,7.31E-10,2.95E-09,2.42E-10,2.47E-06,3.22E-08,,,3.51E-08,1.56E-09,,,,,,,,,,,6.44E-07,7.72E-09,,,,,,,2.08E-09,1.03E-10,7.53E-06,8.36E-07,,
MCT2-2D,6/1/19,11:50,7.22,598,-103,19.5,,5.46,0.45,5.01,0.0183,0.3129,,0.0481,0.0005,5.16E-07,1.41E-07,,,,,4.91E-04,3.93E-06,4.53E-04,7.12E-06,,,1.89E-04,3.51E-06,1.95E-04,8.20E-07,1.34E-05,1.90E-07,,,,,5.10E-05,9.72E-07,2.21E-03,2.57E-05,2.58E-04,2.91E-06,,,,,,,3.22E-08,6.13E-09,,,,,3.27E-07,1.43E-08,,,2.99E-08,2.41E-09,4.39E-09,2.82E-10,3.51E-06,5.77E-08,,,9.94E-09,1.60E-09,,,,,,,,,,,1.44E-06,7.88E-09,,,,,,,,,7.75E-06,3.22E-07,3.45E-08,4.66E-09
MCT2-2D,6/7/19,13:40,7.28,548,-86,7.3,,5.76,0.49,5.27,0.0203,0.2947,,0.0295,0.0006,5.24E-07,1.22E-07,,,,,4.82E-04,4.43E-06,4.72E-04,6.70E-06,,,1.96E-04,3.35E-06,1.85E-04,2.99E-06,1.56E-05,1.39E-07,,,,,5.09E-05,1.20E-06,2.29E-03,3.02E-05,2.66E-04,2.23E-06,,,,,,,3.38E-08,3.81E-09,,,,,2.47E-07,1.43E-08,,,3.09E-08,1.73E-09,4.20E-09,3.35E-10,3.55E-06,2.52E-08,,,9.71E-09,1.81E-09,,,,,,,,,,,1.50E-06,1.32E-08,,,,,,,,,7.59E-06,3.92E-07,3.36E-08,5.04E-09
MCT2-2D,6/14/19,14:05,7.17,561,-85,8.3,,5.92,0.43,5.5,0.0191,0.2863,,0.0198,0.0005,4.82E-07,1.08E-07,,,,,5.35E-04,4.57E-06,4.54E-04,7.30E-06,,,1.95E-04,4.44E-06,1.92E-04,2.19E-06,1.40E-05,3.56E-07,,,,,5.07E-05,1.01E-06,2.27E-03,2.17E-05,2.66E-04,2.92E-06,,,,,,,3.10E-08,2.92E-09,,,,,2.13E-07,9.85E-09,,,2.88E-08,2.17E-09,4.46E-09,3.61E-10,3.50E-06,4.15E-08,,,8.17E-09,1.79E-09,,,,,,,,,,,1.46E-06,1.82E-08,,,,,,,,,7.44E-06,3.68E-07,,
MCT2-2D,6/24/19,16:23,7.21,293,-82,9.4,,5.55,0.47,5.09,0.0283,0.2644,,0.026,0.0005,4.95E-07,1.18E-07,,,,,5.30E-04,1.12E-05,4.43E-04,1.39E-05,,,1.93E-04,7.43E-06,1.96E-04,1.27E-06,1.62E-05,4.17E-07,6.18E-09,4.65E-10,,,4.73E-05,1.90E-06,2.13E-03,2.53E-05,2.60E-04,3.58E-06,,,,,,,3.58E-08,6.33E-09,3.15E-09,8.30E-10,,,3.11E-07,1.15E-08,,,3.06E-08,1.87E-09,5.88E-09,4.42E-10,3.33E-06,3.71E-08,,,1.04E-08,1.34E-09,,,,,,,,,,,1.46E-06,2.49E-08,,,2.55E-09,2.56E-10,,,,,6.93E-06,3.72E-07,3.04E-08,4.23E-09
MCT2-2D,7/1/19,15:15,6.76,518,-61,8.3,,5.58,0.47,5.11,0.0292,0.28,,0.0403,0.0005,4.78E-07,1.20E-07,,,,,4.83E-04,7.95E-06,4.54E-04,1.24E-05,,,2.03E-04,6.59E-06,2.08E-04,1.64E-06,1.93E-05,3.88E-07,,,,,4.88E-05,6.98E-07,2.13E-03,1.88E-05,2.76E-04,3.89E-06,,,,,,,2.96E-08,4.95E-09,,,,,2.64E-07,1.39E-08,,,3.65E-08,2.12E-09,6.28E-09,5.43E-10,3.38E-06,6.88E-08,,,1.19E-08,1.55E-09,,,,,,,,,,,1.53E-06,1.77E-08,,,,,,,,,7.94E-06,4.24E-07,3.69E-08,3.76E-09
MCT2-2D,7/11/19,12:55,6.89,453,-90,7.7,,5.08,0.51,4.57,0.0305,0.2805,,0.0488,0.001,4.75E-07,1.20E-07,,,,,5.62E-04,1.52E-05,4.25E-04,1.20E-05,,,1.98E-04,6.93E-06,2.06E-04,2.77E-06,1.78E-05,1.61E-07,5.11E-09,4.20E-10,,,4.58E-05,2.09E-06,2.09E-03,4.33E-05,2.42E-04,5.67E-06,,,,,,,3.37E-08,5.45E-09,,,,,3.00E-07,1.71E-08,,,2.83E-08,8.78E-10,6.48E-09,3.43E-10,3.30E-06,4.56E-08,,,1.08E-08,1.58E-09,,,,,,,,,,,1.48E-06,2.00E-08,,,1.30E-09,1.44E-10,,,,,7.61E-06,3.25E-07,3.26E-08,3.73E-09
MCT2-2D,7/22/19,12:10,7.15,467,-97,12.3,,5.14,0.41,4.73,0.0323,0.2416,,0.0299,0.0005,5.23E-07,1.30E-07,,,,,4.60E-04,7.03E-06,4.12E-04,9.96E-06,,,2.11E-04,4.69E-06,2.17E-04,1.84E-06,1.86E-05,2.41E-07,,,,,4.31E-05,1.67E-06,2.00E-03,2.12E-05,2.57E-04,3.20E-06,,,,,,,2.89E-08,6.92E-09,,,,,2.55E-07,1.16E-08,,,4.17E-08,1.98E-09,5.77E-09,4.79E-10,3.20E-06,4.76E-08,,,1.20E-08,1.24E-09,,,,,,,,,,,1.39E-06,1.34E-08,,,,,,,,,8.69E-06,3.22E-07,4.12E-08,4.33E-09
MCT2-2D,8/14/19,11:35,7.129,321,-93,11.9,,4.17,0.16,4.01,0.0023,0.1022,,0.0529,,5.27E-07,6.53E-08,,,,,3.81E-04,3.20E-06,3.14E-04,4.55E-06,,,1.90E-04,2.94E-06,1.85E-04,1.54E-06,1.52E-05,2.96E-07,4.83E-09,1.10E-10,,,3.50E-05,4.79E-07,1.53E-03,8.22E-06,1.75E-04,2.15E-06,,,,,,,2.83E-08,3.29E-09,,,,,1.70E-07,1.24E-08,,,3.15E-08,7.80E-10,5.82E-09,3.15E-10,2.57E-06,2.83E-08,1.58E-09,3.93E-10,1.32E-08,1.09E-09,,,,,,,,,,,1.20E-06,5.22E-09,,,,,,,,,8.59E-06,3.04E-07,3.03E-08,1.08E-09
MCT2-2D,8/28/19,,6.657,210,-41,,,4.42,0.66,3.76,0.0383,0.07,,0.0308,0.0298,5.08E-07,6.71E-08,,,,,3.39E-04,9.48E-06,3.47E-04,2.07E-06,,,2.03E-04,3.14E-06,1.97E-04,1.96E-06,1.84E-05,2.97E-07,4.95E-09,2.05E-10,,,3.74E-05,5.84E-07,1.66E-03,1.85E-05,2.09E-04,3.19E-06,,,,,,,2.85E-08,2.58E-09,,,,,1.84E-07,1.58E-08,,,4.02E-08,1.44E-09,5.71E-09,1.66E-10,2.78E-06,1.55E-08,,,1.98E-08,1.12E-09,,,,,,,,,,,1.33E-06,1.71E-08,,,,,,,,,8.42E-06,4.28E-07,4.00E-08,2.47E-09
MCT2-2D,9/15/19,,,,,,,3.91,0.53,3.38,0.0217,0.094,,0.1107,0.0121,4.19E-07,6.96E-08,,,,,3.03E-04,4.96E-06,3.03E-04,7.33E-06,,,1.76E-04,4.48E-06,1.71E-04,9.15E-07,1.38E-05,2.43E-07,,,,,3.41E-05,5.21E-07,1.50E-03,1.35E-05,1.65E-04,1.26E-06,,,,,,,2.80E-08,2.99E-09,,,,,1.73E-07,1.14E-08,,,2.54E-08,8.86E-10,4.24E-09,2.86E-10,2.47E-06,3.34E-08,,,1.34E-08,1.09E-09,,,,,,,,,,,1.14E-06,8.12E-09,,,,,,,,,9.26E-06,4.44E-07,,
MCT2-2D,9/24/19,,,,,,,3.54,0.49,3.05,0.0124,,,,,4.30E-07,5.47E-08,,,,,3.30E-04,4.99E-06,3.17E-04,5.49E-06,,,1.66E-04,2.77E-06,1.60E-04,1.29E-06,1.37E-05,2.13E-07,,,,,3.67E-05,4.08E-07,1.62E-03,1.55E-05,1.73E-04,1.45E-06,,,,,,,4.33E-08,3.02E-09,,,,,1.63E-07,1.20E-08,,,2.48E-08,6.20E-10,3.68E-09,2.40E-10,2.67E-06,3.50E-08,,,1.33E-08,9.02E-10,,,,,,,,,,,1.19E-06,7.50E-09,,,,,,,,,1.73E-05,2.68E-06,,
MCT2-2D,10/22/19,,7.52,427.2,-150,,,3.92,0.61,3.32,0.0157,0.2505,,0.1818,0.0058,,,,,,,2.83E-04,5.73E-06,3.25E-04,8.88E-06,,,1.58E-04,3.28E-06,1.49E-04,2.02E-06,1.23E-05,2.80E-07,,,,,3.70E-05,5.67E-07,1.61E-03,9.98E-06,1.64E-04,1.45E-06,,,,,,,3.37E-08,2.75E-09,,,,,4.33E-07,1.19E-08,,,1.52E-08,8.59E-10,3.24E-09,2.22E-10,2.65E-06,3.55E-08,,,8.86E-09,5.48E-10,,,,,,,,,,,1.15E-06,6.42E-09,,,,,,,,,1.04E-05,9.67E-07,,
MCT2-2M,6/1/19,12:00,7.13,284,-31,17.3,,2.8,0.69,2.11,0.0068,0.2178,,0.0665,0.0006,,,,,,,2.69E-04,6.34E-06,3.77E-04,1.21E-05,,,1.45E-04,5.13E-06,1.40E-04,1.26E-06,1.08E-05,1.90E-07,1.01E-08,1.23E-09,,,1.06E-05,1.84E-07,1.03E-03,1.77E-05,6.27E-05,5.59E-07,,,,,,,7.39E-08,3.80E-09,1.92E-08,9.28E-10,5.00E-09,2.31E-09,2.41E-07,1.39E-08,,,3.33E-08,2.33E-09,3.92E-09,5.25E-10,1.62E-06,3.40E-08,,,9.16E-09,1.33E-09,,,,,,,,,,,5.14E-07,3.62E-09,,,1.11E-09,2.33E-10,,,,,6.20E-06,4.14E-07,,
MCT2-2M,6/7/19,13:40,7.15,301,-33,8.4,,3.53,0.74,2.79,0.0083,0.2205,,0.02,0.0005,,,,,,,2.78E-04,7.10E-06,4.78E-04,9.10E-06,,,1.62E-04,5.62E-06,1.53E-04,9.19E-07,1.45E-05,2.96E-07,1.05E-08,4.58E-10,,,1.50E-05,2.40E-07,1.23E-03,2.07E-05,6.04E-05,4.56E-07,,,,,,,9.52E-08,5.93E-09,2.89E-08,5.19E-10,1.59E-08,2.56E-09,3.06E-07,1.19E-08,,,3.44E-08,3.84E-09,5.43E-09,3.79E-10,1.97E-06,2.19E-08,,,1.64E-08,1.77E-09,,,,,,,,,,,6.12E-07,8.10E-09,,,2.10E-09,2.10E-10,,,7.28E-10,1.28E-10,6.17E-06,3.86E-07,,
MCT2-2M,6/14/19,14:05,7.07,335,-17,9.4,,3.15,0.59,2.56,0.0103,0.2044,,0.0438,0.0011,,,,,,,2.81E-04,6.61E-06,4.55E-04,9.60E-06,,,1.49E-04,4.69E-06,1.41E-04,8.61E-07,1.27E-05,2.27E-07,5.29E-09,8.62E-10,,,1.19E-05,2.79E-07,1.27E-03,9.84E-06,9.85E-05,1.79E-06,,,,,,,5.60E-08,4.76E-09,1.37E-08,1.09E-09,6.70E-09,2.43E-09,2.40E-07,1.40E-08,,,3.48E-08,3.93E-09,4.40E-09,2.57E-10,1.99E-06,2.41E-08,,,1.16E-08,1.38E-09,,,,,,,,,,,6.28E-07,1.29E-08,,,,,,,,,6.04E-06,3.67E-07,,
MCT2-2M,6/24/19,16:17,7.07,422,-51,9.2,,4.92,0.47,4.45,0.008,0.2545,,0.0458,0.0006,,,,,,,3.36E-04,8.07E-06,6.02E-04,1.24E-05,,,1.59E-04,5.03E-06,1.54E-04,1.98E-06,2.39E-05,5.41E-07,5.61E-09,5.22E-10,,,1.74E-05,3.89E-07,1.67E-03,1.10E-05,8.81E-05,7.88E-07,,,,,6.37E-08,1.95E-08,7.50E-08,1.10E-08,2.28E-08,6.09E-10,1.62E-08,2.92E-09,2.68E-07,1.16E-08,,,2.94E-08,2.20E-09,8.28E-09,3.82E-10,2.63E-06,3.54E-08,,,1.33E-08,2.08E-09,,,,,,,,,,,7.93E-07,1.88E-08,,,,,,,1.51E-09,1.27E-10,6.05E-06,4.00E-07,,
MCT2-2M,7/1/19,15:03,6.78,429,-53,10.8,,3.28,0.62,2.67,0.0122,0.1446,,0.0982,0.0013,,,,,,,3.45E-04,7.22E-06,6.11E-04,9.99E-06,,,1.65E-04,4.01E-06,1.74E-04,1.47E-06,1.84E-05,1.16E-07,6.71E-09,4.90E-10,,,2.03E-05,2.60E-07,1.82E-03,2.02E-05,1.23E-04,1.87E-06,,,,,,,7.10E-08,3.59E-09,2.18E-08,9.86E-10,,,3.96E-07,9.30E-08,,,3.27E-08,2.35E-09,6.46E-09,3.90E-10,2.97E-06,1.73E-08,,,1.69E-08,1.51E-09,,,,,,,,,,,9.70E-07,1.58E-08,,,,,,,2.11E-09,1.37E-10,6.72E-06,4.04E-07,3.79E-08,4.52E-09
MCT2-2M,7/11/19,12:50,7.12,368,-60,9.8,,4.77,0.53,4.24,0.0153,0.2608,,0.059,0.0016,,,,,,,3.48E-04,9.14E-06,5.63E-04,1.91E-05,,,1.69E-04,5.23E-06,1.80E-04,4.46E-07,1.66E-05,2.17E-07,4.96E-09,6.18E-10,,,1.96E-05,3.54E-07,1.88E-03,2.11E-05,1.43E-04,1.22E-06,,,,,,,5.77E-08,5.31E-09,1.03E-08,1.09E-09,1.65E-08,2.36E-09,2.47E-07,1.02E-08,,,3.74E-08,1.43E-09,5.95E-09,2.90E-10,2.97E-06,2.74E-08,,,1.44E-08,1.43E-09,,,,,,,,,,,1.10E-06,1.75E-08,,,,,,,1.04E-09,1.74E-10,7.19E-06,3.28E-07,4.21E-08,1.79E-09
MCT2-2M,7/17/19,12:49,7.18,445,-79,11,,5.28,0.44,4.84,0.0144,0.2618,,0.0685,0.0005,,,,,,,3.50E-04,5.84E-06,5.42E-04,9.67E-06,,,1.69E-04,3.23E-06,1.81E-04,8.12E-07,1.77E-05,2.81E-07,,,,,1.95E-05,3.43E-07,1.92E-03,4.20E-06,1.07E-04,1.18E-06,,,,,,,4.03E-08,4.19E-09,8.63E-09,7.81E-10,,,3.22E-07,1.62E-08,,,2.04E-08,9.78E-10,6.80E-09,5.67E-10,3.05E-06,6.96E-08,,,1.27E-08,1.52E-09,,,,,,,,,,,1.10E-06,3.08E-09,,,1.70E-09,1.47E-10,,,9.99E-10,1.38E-10,7.46E-06,4.20E-07,,
MCT2-2M,7/22/19,12:20,6.94,431,-65,12.8,,5.29,0.47,4.81,0.0109,0.2463,,0.0647,0.0005,,,,,,,3.59E-04,8.31E-06,5.43E-04,9.49E-06,,,1.77E-04,4.93E-06,1.86E-04,7.84E-07,1.63E-05,2.92E-07,4.98E-09,6.09E-10,,,1.68E-05,3.80E-07,1.84E-03,3.44E-05,1.34E-04,1.30E-06,,,,,,,3.93E-08,3.98E-09,8.35E-09,3.47E-10,,,1.95E-07,1.04E-08,,,3.57E-08,2.34E-09,6.00E-09,5.01E-10,2.91E-06,2.56E-08,,,1.53E-08,1.22E-09,,,,,,,,,,,1.04E-06,1.14E-08,,,,,,,8.39E-10,1.17E-10,7.50E-06,5.16E-07,3.99E-08,2.87E-09
MCT2-2M,8/14/19,11:44,7.32,363,-101,12,,4.22,0.57,3.65,0.0133,0.1471,,0.0779,0.006,,,,,,,3.29E-04,7.38E-06,4.56E-04,1.02E-05,,,1.74E-04,4.12E-06,1.70E-04,1.68E-06,1.58E-05,2.63E-07,6.13E-09,2.11E-10,,,1.43E-05,2.46E-07,1.50E-03,9.28E-06,1.13E-04,1.16E-06,,,,,,,5.08E-08,4.34E-09,9.39E-09,4.65E-10,5.62E-09,5.99E-10,2.72E-07,1.09E-08,,,4.28E-08,5.74E-10,6.08E-09,2.54E-10,2.47E-06,3.85E-08,1.67E-09,3.97E-10,1.88E-08,7.49E-10,,,,,,,,,,,8.99E-07,9.72E-09,,,,,,,7.34E-10,7.34E-11,8.74E-06,3.83E-07,4.00E-08,1.76E-09
MCT2-2M,8/28/19,,7.032,141,-81,,,4.29,0.59,3.7,0.0147,0.0704,,0.0586,0.0072,,,,,,,3.25E-04,3.24E-06,4.56E-04,7.38E-06,,,1.76E-04,3.04E-06,1.74E-04,1.31E-06,1.81E-05,3.31E-07,9.33E-09,4.45E-10,,,1.37E-05,2.15E-07,1.48E-03,8.33E-06,1.01E-04,1.06E-06,,,,,,,4.35E-08,1.99E-09,7.30E-09,4.83E-10,1.61E-08,1.08E-09,3.04E-07,1.49E-08,,,3.94E-08,1.32E-09,6.91E-09,3.02E-10,2.44E-06,2.24E-08,1.85E-09,3.80E-10,1.69E-08,1.18E-09,,,,,,,,,,,9.36E-07,1.23E-08,,,1.08E-09,1.47E-10,,,1.13E-09,9.77E-11,7.96E-06,2.63E-07,3.81E-08,2.66E-09
MCT2-2M,9/15/19,,6.8,286.4,-14,12.6,,2.2,0.74,1.46,0.0064,0.273,,0.6552,0.0042,,,,,,,2.90E-04,4.14E-06,3.60E-04,3.24E-06,,,1.14E-04,1.72E-06,1.14E-04,9.33E-07,7.62E-06,1.36E-07,,,,,2.83E-06,4.84E-08,1.05E-03,9.45E-06,2.20E-05,1.23E-07,,,,,,,7.10E-08,2.40E-09,5.57E-09,4.08E-10,4.40E-08,1.44E-09,2.30E-07,1.27E-08,,,1.11E-08,6.02E-10,2.28E-09,2.57E-10,1.79E-06,1.07E-08,,,,,,,,,,,,,,,6.33E-07,6.06E-09,,,,,,,,,2.03E-05,3.62E-06,,
