date,magnesium
YYYY-MM-DD,ppb
2018-05-26,1003.59655
2018-05-27,982.0796300000001
2018-05-28,1000.46
2018-05-29,1015.6155200000001
2018-05-30,1048.82439
2018-05-31,1049.74543
2018-06-01,1078.1369599999998
2018-06-02,1074.69271
2018-06-03,1083.44839
2018-06-04,1123.60103
2018-06-05,1182.53705
2018-06-06,1242.4665
2018-06-07,1249.26888
2018-06-08,1291.85988
2018-06-09,1313.0699100000002
2018-06-10,1322.66527
2018-06-11,1355.18016
2018-06-12,1404.46869
2018-06-13,1428.8947099999998
2018-06-14,1458.37293
2018-06-15,1467.66171
2018-06-23,1704.74973
2018-06-24,1731.02402
2018-06-25,1731.2285299999999
2018-06-26,1754.77125
2018-06-27,1759.53839
2019-03-05,1960.28765
2019-03-15,1935.5068099999999
2019-03-23,1187.8322
2019-03-26,1055.03001
2019-03-27,1569.2806300000002
2019-03-28,1543.2950500000002
2019-04-04,2022.07534
2019-04-10,2073.27116
2019-04-11,2038.69651
2019-04-16,2097.19833
2019-04-17,2149.78205
2019-04-18,2126.3689299999996
2019-04-19,2014.0427
2019-04-20,1921.89599
2019-04-21,1908.97691
2019-04-22,1836.52346
2019-04-23,1755.7738399999998
2019-04-24,1956.04833
2019-04-25,1811.915
2019-04-26,1719.53593
2019-04-27,1487.9509600000001
2019-04-28,1426.46707
2019-04-29,1532.30087
2019-04-30,1587.8409
2019-05-01,1542.75208
2019-05-02,1451.3240799999999
2019-05-03,1408.67071
2019-05-04,1499.41742
2019-05-05,1543.9405
2019-05-06,1564.5067599999998
2019-05-07,1511.08395
2019-05-08,1478.01489
2019-05-09,1398.53704
2019-05-10,1388.9101400000002
2019-05-11,1364.84308
2019-05-12,1400.8066
2019-05-13,1320.58367
2019-05-14,1207.56427
2019-05-15,1148.74935
2019-05-16,1083.22576
2019-05-17,1023.5127
2019-05-18,1078.8356899999999
2019-05-19,1096.2573399999999
2019-05-20,1145.88697
2019-05-21,1149.4372
2019-05-22,1213.80141
2019-05-23,1227.66139
2019-05-24,1246.82511
2019-05-25,1265.51335
2019-05-26,1201.63661
2019-05-27,1196.97488
2019-05-28,1178.53709
2019-05-29,1228.40935
2019-05-30,1211.57698
2019-05-31,1122.57248
2019-06-01,1131.94228
2019-06-02,982.28246
2019-06-03,924.41239
2019-06-04,908.7168800000001
2019-06-05,889.8426999999999
2019-06-06,845.37847
2019-06-07,786.2629400000001
2019-06-08,778.029
2019-06-09,746.91288
2019-06-10,763.0526
2019-06-10,753.51401
2019-06-10,752.11542
2019-06-10,724.8548900000001
2019-06-11,749.04894
2019-06-11,718.1674599999999
2019-06-11,713.18762
