date,calcium
YYYY-MM-DD,ppb
2017-05-07,7269.205030000001
2017-05-08,6908.09701
2017-05-09,6873.41712
2017-05-10,6960.84006
2017-05-11,6920.50706
2017-05-12,6441.5469299999995
2017-05-13,6153.87503
2017-05-15,5976.59313
2017-05-16,5975.66687
2017-05-17,6062.27242
2017-05-18,6308.13646
2017-05-19,6659.1489
2017-05-20,6764.0218
2017-05-21,7156.50007
2017-05-22,7025.89828
2017-05-23,6943.09821
2017-05-24,6737.16741
2017-05-25,6359.74172
2017-05-26,6038.053959999999
2017-05-27,6784.74223
2017-05-28,6824.8735
2017-05-29,6381.060109999999
2017-05-30,6165.24237
2017-05-31,5960.00848
2017-06-01,6044.73984
2017-06-02,5885.59308
2017-06-03,5928.399490000001
2017-06-04,5768.49029
2017-06-05,5701.24276
2017-06-06,5573.355780000001
2017-06-07,5614.5277
2017-06-08,5864.43942
2017-06-09,5745.407800000001
2017-06-10,5485.33972
2017-06-11,5470.65402
2017-06-12,5448.826010000001
2017-06-13,5792.669889999999
2017-06-14,5888.49251
2017-06-15,5992.64422
2017-06-16,6049.41225
2017-06-17,5996.3982399999995
2017-06-18,5795.851549999999
2017-06-19,5907.5909
2017-06-20,6073.14448
2017-06-21,5919.3931299999995
2017-06-22,6413.71729
2017-06-23,6466.818130000001
2017-06-24,6677.38157
2017-06-25,6939.82964
2017-06-26,7178.63883
2017-06-27,7391.6003
2017-06-28,8053.649370000001
2017-06-29,8099.53986
2017-06-30,8335.72256
2017-07-01,8404.37124
2017-07-02,8705.356450000001
2017-07-03,8804.659169999999
2017-07-04,9324.7085
2017-07-05,9520.74141
2017-07-06,9669.47167
2017-07-07,10009.4334
2017-07-08,10115.28139
2017-07-09,10411.486669999998
2017-07-10,10741.73688
2017-07-11,10862.510119999999
2017-07-12,10726.72521
2017-07-13,10605.72824
2017-07-14,10730.507560000002
2017-07-15,9762.55237
2017-07-18,10920.74511
2017-07-19,11390.90165
2017-07-20,11369.11341
2017-07-21,11985.20429
2017-07-22,12192.03143
2017-07-23,11985.81414
2017-07-24,11886.95544
2017-07-25,12392.579740000001
2017-07-26,12002.57267
2017-07-27,11849.323999999999
2017-07-28,12603.019
2017-07-29,12179.43618
2017-07-30,11469.01672
2017-07-31,11608.770489999999
2017-08-01,12725.47176
2017-08-02,11863.92826
2017-08-03,13020.77479
2017-08-04,13575.31432
2017-08-05,13774.37221
2017-08-06,13671.17668
2017-08-07,13980.648060000001
2017-08-08,14018.28622
2017-08-09,13202.56388
2017-08-10,13098.6718
2017-08-11,13530.79338
2017-08-12,14322.10769
2017-08-13,14520.386980000001
2017-08-14,14681.8062
2017-08-15,14954.541549999998
2017-08-16,15345.67858
2017-08-17,15320.218359999999
2017-08-18,15672.12361
2017-08-19,15554.27052
2017-08-20,15664.04967
2017-08-21,15973.19248
2017-08-22,15681.20787
2017-08-23,15850.298110000002
2017-08-24,15954.95279
2017-08-25,15771.587629999998
2017-08-26,15416.01831
2017-08-27,14786.71477
2017-08-28,14727.93151
2017-08-29,14488.69449
2017-08-30,14352.04262
2017-08-31,14224.8148
2017-09-01,13940.026130000002
2017-09-02,14147.70689
2017-09-03,14401.387910000001
2017-09-04,14249.49325
2017-09-05,14278.5786
2017-09-17,15854.35778
2017-09-18,15182.761499999999
2017-09-19,15104.603500000001
2017-09-20,15248.614419999998
2017-09-21,14994.801500000001
2017-09-22,15913.43073
2017-09-23,16143.76584
2017-09-24,16442.36288
2017-09-25,16078.15592
2017-09-26,16334.52695
2017-09-27,16301.43665
2017-09-28,16854.84193
2017-09-29,16540.49034
2017-09-30,18547.397969999998
2017-10-01,16891.81403
2017-10-02,17412.51613
2017-10-03,17095.40089
2017-10-04,17625.26101
2017-10-05,16531.92172
2017-10-06,16020.80907
2017-10-07,15411.85318
2017-10-08,15285.851270000001
2017-10-09,14857.903750000001
2017-10-10,15464.81619
2017-10-20,14770.2613
2017-11-07,14424.35457
2018-04-28,9932.88457
2018-04-29,9363.21621
2018-04-30,9022.12326
2018-05-01,8755.23348
2018-05-02,8742.89811
2018-05-03,9443.11606
2018-05-04,9538.8775
2018-05-05,9365.47107
2018-05-06,8627.417669999999
2018-05-07,8026.391170000001
2018-05-08,7602.9119900000005
2018-05-09,7353.58609
2018-05-10,6938.00744
2018-05-11,6753.2981500000005
2018-05-12,6572.0609
2018-05-13,6647.67079
2018-05-14,6491.346140000001
2018-05-15,6361.94623
2018-05-16,6359.92024
2018-05-17,6345.29975
2018-05-18,6293.27031
2018-05-19,6518.754559999999
2018-05-20,6530.49619
2018-05-21,6679.53807
2018-05-22,6607.27896
2018-05-23,7547.0553199999995
2018-05-24,7414.068509999999
2018-05-25,7105.02782
2018-05-26,7120.0549599999995
2018-05-27,7098.62004
2018-05-28,7220.0668
2018-05-29,7254.550450000001
2018-05-30,7643.0019600000005
2018-05-31,7559.0205000000005
2018-06-01,8074.07913
2018-06-02,7831.895530000001
2018-06-03,7953.311949999999
2018-06-04,8260.82078
2018-06-05,9514.77382
2018-06-06,8867.91341
2018-06-07,9026.84888
2018-06-08,8983.70102
2018-06-09,8955.260620000001
2018-06-10,9642.0407
2018-06-11,9950.04556
2018-06-12,10316.95838
2018-06-13,10558.42977
2018-06-14,10779.60196
2018-06-15,11056.8626
2018-06-23,12609.111969999998
2018-06-24,13046.721829999999
2018-06-25,13057.903960000001
2018-06-26,13374.939320000001
2018-06-27,13160.47923
2019-03-05,15686.81162
2019-03-15,15245.6049
2019-03-23,9242.55617
2019-03-26,9130.53701
2019-03-27,11951.830769999999
2019-03-28,12238.94059
2019-04-04,15900.141779999998
2019-04-10,13693.78083
2019-04-11,13770.04124
2019-04-16,14303.1142
2019-04-17,14466.585560000001
2019-04-18,13784.271550000001
2019-04-19,13164.50594
2019-04-20,12209.790219999999
2019-04-21,12044.24086
2019-04-22,11794.10204
2019-04-23,11512.40453
2019-04-24,11810.32252
2019-04-25,11041.414270000001
2019-04-26,10582.382749999999
2019-04-27,9263.22054
2019-04-28,8787.96888
2019-04-29,9207.52683
2019-04-30,9541.38121
2019-05-01,9508.73245
2019-05-02,9252.95072
2019-05-03,9316.57632
2019-05-04,9927.74087
2019-05-05,9177.50133
2019-05-06,8847.17147
2019-05-07,8561.72151
2019-05-08,8206.91837
2019-05-09,8198.82733
2019-05-10,8148.333320000001
2019-05-11,7988.436369999999
2019-05-12,8079.6664599999995
2019-05-13,7604.530130000001
2019-05-14,7043.0757
2019-05-15,7665.43858
2019-05-16,7251.42684
2019-05-17,6956.110119999999
2019-05-18,7237.39958
2019-05-19,7466.73878
2019-05-20,7550.41225
2019-05-21,7736.21165
2019-05-22,8187.41896
2019-05-23,8263.37092
2019-05-24,8393.17892
2019-05-25,8522.76634
2019-05-26,8198.41066
2019-05-27,8135.9877400000005
2019-05-28,8173.35238
2019-05-29,8420.7682
2019-05-30,8315.46249
2019-05-31,7835.43624
2019-06-01,7802.29749
2019-06-02,7075.24096
2019-06-03,6706.510829999999
2019-06-04,6611.61606
2019-06-05,6350.02742
2019-06-06,6150.5734299999995
2019-06-07,5826.87456
2019-06-08,5749.32412
2019-06-09,5580.84376
2019-06-10,5608.40925
2019-06-10,5703.92657
2019-06-10,5639.52933
2019-06-10,5472.00421
2019-06-11,5786.98089
2019-06-11,5435.08102
2019-06-11,5435.99123
2019-06-11,5162.3678
2019-06-11,5101.03978
2019-06-11,5223.63105
2019-06-11,5305.46139
2019-06-11,5272.08583
2019-06-11,5247.04401
2019-06-11,5309.93469
2019-06-11,5432.889219999999
2019-06-11,5315.89163
2019-06-11,5392.37976
2019-06-11,5298.44147
2019-06-11,5419.248659999999
2019-06-11,5407.01317
2019-06-11,5423.61997
2019-06-11,5402.28715
2019-06-11,5693.12228
2019-06-11,5697.777770000001
2019-06-11,5698.82892
2019-06-12,6365.1487
2019-06-13,5955.07028
2019-06-14,5156.77764
2019-06-15,5242.370919999999
2019-06-16,5218.21492
2019-06-24,6186.57737
2019-06-25,6252.83239
2019-06-26,6216.90036
2019-06-27,5899.10173
2019-06-28,5599.71345
2019-06-29,5448.58451
2019-06-30,5357.2494
2019-07-01,8938.8246
2019-07-02,6654.8966
2019-07-03,5947.119320000001
2019-07-04,6170.0154999999995
2019-07-05,6428.69737
2019-07-06,7080.67512
2019-07-07,6581.49121
2019-07-08,6694.495349999999
2019-07-09,6832.3827200000005
2019-07-10,7168.14022
2019-07-11,7853.44622
2019-07-12,8217.016740000001
2019-07-13,8096.5874699999995
2019-07-14,8009.507
2019-07-15,8370.2892
2019-07-16,8686.80973
2019-07-17,8804.61969
2019-07-18,9048.67962
2019-07-19,9250.40066
2019-07-20,9541.16492
2019-07-21,9743.1008
2019-07-22,10042.97661
2019-07-23,10251.190120000001
2019-07-24,10372.8854
2019-07-25,10659.61599
2019-07-26,11689.6436
2019-07-26,11527.870889999998
2019-07-26,11169.220290000001
2019-07-26,11159.267359999998
2019-07-26,11023.95921
2019-07-26,12470.33171
2019-07-27,12028.8087
2019-07-27,11422.510299999998
2019-07-27,11448.04269
2019-07-27,11513.21263
2019-07-27,11528.296740000002
2019-07-27,11506.32733
2019-07-27,11649.21888
2019-07-27,11601.70468
2019-07-27,12207.86063
2019-07-27,12067.240549999999
2019-07-27,11587.89588
2019-07-27,11640.7239
2019-07-27,11683.715689999999
2019-07-27,11986.24882
2019-07-27,11767.48369
2019-07-27,11637.77784
2019-07-27,11519.572129999999
2019-07-27,11519.629970000002
2019-07-27,11647.24088
2019-07-28,11011.177479999998
2019-07-29,17628.02019
2019-07-30,12409.02196
2019-07-31,12035.851560000001
2019-08-01,14747.617580000002
2019-08-02,12835.20911
2019-08-03,13314.569730000001
2019-08-04,12846.11398
2019-08-05,12760.9152
2019-08-06,13906.54501
2019-08-07,15186.28344
2019-08-08,14950.80357
2019-08-09,13823.757230000001
2019-08-10,14512.289390000002
2019-08-11,14774.031910000002
2019-08-12,16369.8416
2019-08-13,14469.01139
2019-08-17,15011.46473
2019-08-18,15445.40109
2019-08-19,15626.269680000001
2019-08-20,15665.51883
2019-08-21,15800.237400000002
2019-08-22,15835.49664
2019-08-23,16040.4255
2019-08-24,15859.3545
2019-08-25,17564.27826
2019-08-26,15907.46985
2019-08-27,16269.21776
2019-08-28,16340.76416
2019-08-29,16142.50121
2019-08-30,15997.56687
2019-08-31,16105.584630000001
2019-09-01,16131.823059999999
2019-09-02,16789.29358
2019-09-03,16058.17354
2019-09-04,16093.87938
2019-09-05,16039.51835
2019-09-06,16143.3864
2019-09-07,16058.37532
2019-09-08,15866.346160000001
2019-09-09,15829.970109999998
2019-09-10,15830.421559999999
2019-09-12,15969.842069999999
2019-09-13,15668.92153
2019-09-14,16003.0138
2019-09-15,16178.00204
2019-09-16,16809.22204
2019-09-17,16274.99275
2019-09-18,16290.91381
2019-09-19,16659.48248
2019-09-20,16221.89047
2019-09-21,16099.58655
2019-09-22,16153.545759999999
2019-09-23,16207.579020000001
2019-09-24,16355.63713
2019-09-25,16395.390760000002
2019-09-26,16242.79778
2019-09-27,15851.76586
2019-09-28,16346.65165
2019-09-29,16277.804450000001
2019-09-30,16270.285590000001
2019-10-01,16278.935870000001
2019-10-02,16253.47073
2019-10-03,16215.4727
2019-10-04,16212.00012
2019-10-05,16313.21787
2019-10-06,16251.177479999998
2019-10-07,16369.67452
