date,cadmium
YYYY-MM-DD,ppb
2018-05-26,0.52111
2018-05-27,0.47278
2018-05-28,0.46842
2018-05-29,0.5175
2018-05-30,0.50994
2018-05-31,0.43601
2018-06-01,0.40987999999999997
2018-06-02,0.38344
2018-06-03,0.33661
2018-06-04,0.30767
2018-06-05,0.32193
2018-06-06,0.3696
2018-06-07,0.42138000000000003
2018-06-08,0.39495
2018-06-09,0.34797
2018-06-10,0.33993
2018-06-11,0.35057
2018-06-12,0.29772
2018-06-13,0.26902
2018-06-14,0.27751000000000003
2018-06-15,0.28287
2018-06-23,0.30626
2018-06-24,0.22977999999999998
2018-06-25,0.25438
2018-06-26,0.25096
2018-06-27,0.27346
2019-03-05,0.31958
2019-03-15,0.32647000000000004
2019-03-23,0.13464
2019-03-26,0.18065
2019-03-27,0.18606999999999999
2019-03-28,0.18239
2019-04-04,0.50717
2019-04-10,1.71396
2019-04-11,2.05564
2019-04-16,2.1512000000000002
2019-04-17,2.47232
2019-04-18,3.2367800000000004
2019-04-19,3.1833400000000003
2019-04-20,3.81602
2019-04-21,3.48796
2019-04-22,3.1874700000000002
2019-04-23,2.81145
2019-04-24,3.67003
2019-04-25,3.56862
2019-04-26,3.71413
2019-04-27,4.04267
2019-04-28,4.2229600000000005
2019-04-29,5.6911000000000005
2019-04-30,6.09944
2019-05-01,5.750450000000001
2019-05-02,4.97151
2019-05-03,4.59354
2019-05-04,5.198589999999999
2019-05-05,4.00383
2019-05-06,3.45002
2019-05-07,2.42076
2019-05-08,4.48043
2019-05-09,4.98177
2019-05-10,3.7292199999999998
2019-05-11,4.66273
2019-05-12,5.40011
2019-05-13,5.34405
2019-05-14,4.35969
2019-05-15,3.41622
2019-05-16,3.3642899999999996
2019-05-17,3.0569699999999997
2019-05-18,3.5417500000000004
2019-05-19,3.7292199999999998
2019-05-20,3.63454
2019-05-21,3.2219700000000002
2019-05-22,3.68992
2019-05-23,3.28413
2019-05-24,3.29105
2019-05-25,3.5018599999999998
2019-05-26,3.65111
2019-05-27,3.51095
2019-05-28,3.4871600000000003
2019-05-29,4.0394000000000005
2019-05-30,4.12955
2019-05-31,3.43412
2019-06-01,2.6645600000000003
2019-06-02,2.309
2019-06-03,1.8301
2019-06-04,1.72327
2019-06-05,1.86732
2019-06-06,1.85308
2019-06-07,1.83782
2019-06-08,1.7978
2019-06-09,1.5814400000000002
2019-06-10,1.64153
2019-06-10,1.13945
2019-06-10,1.1392099999999998
2019-06-10,0.99607
2019-06-11,1.03678
2019-06-11,1.0134400000000001
2019-06-11,0.99037
2019-06-11,1.14155
2019-06-11,1.0970199999999999
2019-06-11,1.1256599999999999
2019-06-11,1.18643
