date,sodium
YYYY-MM-DD,ppb
2017-05-21,1396.33052
2017-05-22,1361.85742
2017-05-23,1369.8590100000001
2017-05-24,1342.3651399999999
2017-05-25,1249.49132
2017-05-26,1209.0373200000001
2017-05-27,1296.80654
2017-05-28,1254.55026
2017-05-29,1179.38278
2017-05-30,1172.68901
2017-05-31,1130.43469
2017-06-01,1112.62669
2017-06-02,1122.5305899999998
2017-06-03,1136.70059
2017-06-04,1101.64485
2017-06-05,1091.14042
2017-06-06,1094.31669
2017-06-07,1098.69734
2017-06-08,1160.81563
2017-06-09,1106.02295
2017-06-10,1082.21118
2017-06-11,1056.44748
2017-06-12,1079.04555
2017-06-13,1309.08946
2017-06-14,1176.9189000000001
2017-06-15,1156.03506
2017-06-16,1156.57541
2017-06-17,1136.31774
2017-06-18,1125.844
2017-06-19,1285.5476899999999
2017-06-20,1186.61508
2017-06-21,1166.28456
2017-06-22,1620.3196
2017-06-23,1249.01396
2017-06-24,1281.89558
2017-06-25,1306.90902
2017-06-26,1326.54134
2017-06-27,1369.60862
2017-06-28,1403.13673
2017-06-29,1443.8081399999999
2017-06-30,1450.56274
2017-07-01,1476.4715
2017-07-02,1529.42675
2017-07-03,1601.89568
2017-07-04,1664.86005
2017-07-05,1654.3829400000002
2017-07-06,1704.6722
2017-07-07,3189.9762299999998
2017-07-08,1759.06574
2017-07-09,1786.15612
2017-07-10,1834.89846
2017-07-11,1866.54578
2017-07-12,1906.85697
2017-07-13,1827.90519
2017-07-14,1868.0848
2017-07-15,1719.1846799999998
2017-07-18,1861.45126
2017-07-19,1877.5708399999999
2017-07-20,1849.1045399999998
2017-07-21,1957.65166
2017-07-22,2074.20386
2017-07-23,1955.80603
2017-07-24,1976.93315
2017-07-25,1985.21309
2017-07-26,1948.2323500000002
2017-07-27,1920.82846
2017-07-28,2079.92187
2017-07-29,1939.70118
2017-07-30,1844.78151
2017-07-31,1860.7617
2017-08-01,1937.46799
2017-08-02,1983.3071
2017-08-03,2033.67493
2017-08-04,2025.63823
2017-08-05,2090.73569
2017-08-06,2174.0687900000003
2017-08-07,2225.1432
2017-08-08,2443.98
2017-08-09,2096.26727
2017-08-10,2358.72117
2017-08-11,2158.63351
2017-08-12,2306.63622
2017-08-13,2290.1544400000002
2017-08-14,2347.2531900000004
2017-08-15,2417.2104799999997
2017-08-16,2464.53171
2017-08-17,2485.35863
2017-08-18,2543.11937
2017-08-19,2493.7054
2017-08-20,2562.98792
2017-08-21,2582.9485799999998
2017-08-22,2555.72341
2017-08-23,2541.97278
2017-08-24,2623.35468
2017-08-25,2656.4773800000003
2017-08-26,2545.92803
2017-08-27,2435.5209
2017-08-28,2701.8869999999997
2017-08-29,2335.98689
2017-08-30,2302.61092
2017-08-31,2303.96699
2017-09-01,2263.27253
2017-09-02,2482.37065
2017-09-03,2286.6043600000003
2017-09-04,2327.03958
2017-09-05,2232.8494
2017-09-17,2383.92933
2017-09-18,2292.73214
2017-09-19,2263.79713
2017-09-20,2330.78868
2017-09-21,2298.80262
2017-09-22,2493.93345
2017-09-23,2588.51808
2017-09-24,2653.87003
2017-09-25,2596.57242
2017-09-26,2634.21059
2017-09-27,2660.3194200000003
2017-09-28,2873.6738000000005
2017-09-29,2683.49101
2017-09-30,2759.9160699999998
2017-10-01,2676.05073
2017-10-02,2716.6054200000003
2017-10-03,2702.06698
2017-10-04,2728.49143
2017-10-05,2695.29813
2017-10-06,2573.72649
2017-10-07,2423.42308
2017-10-08,2394.49699
2017-10-09,2341.3838100000003
2017-10-10,2448.39932
2017-10-20,2417.5461999999998
2017-11-07,2307.27824
2018-04-28,1576.1714299999999
2018-04-29,1482.65767
2018-04-30,1484.61283
2018-05-01,1474.2772400000001
2018-05-02,1473.64816
2018-05-03,1574.51933
2018-05-04,1617.84663
2018-05-05,1561.2204900000002
2018-05-06,1535.20797
2018-05-07,1377.3692
2018-05-08,1325.24334
2018-05-09,1347.74093
2018-05-10,1241.9308700000001
2018-05-11,1235.65706
2018-05-12,1214.04648
2018-05-13,1254.52828
2018-05-14,1227.36299
2018-05-15,1245.4414199999999
2018-05-16,1231.88426
2018-05-17,1234.08942
2018-05-18,1220.0673000000002
2018-05-19,1296.78429
2018-05-20,1322.8267099999998
2018-05-21,1349.31875
2018-05-22,1336.1196599999998
2018-05-23,1465.3617499999998
2018-05-24,1445.3351799999998
2018-05-25,1397.85797
2018-05-26,1393.7866099999999
2018-05-27,1395.26555
2018-05-28,1425.84703
2018-05-29,1419.6454700000002
2018-05-30,1482.2667999999999
2018-05-31,1471.01821
2018-06-01,1511.57207
2018-06-02,1499.65189
2018-06-03,1554.27646
2018-06-04,1537.8403700000001
2018-06-05,1593.51179
2018-06-06,1641.23325
2018-06-07,1663.8592600000002
2018-06-08,1637.51016
2018-06-09,1725.3035399999999
2018-06-10,1744.46083
2018-06-11,1797.86608
2018-06-12,1836.36641
2018-06-13,1874.6967799999998
2018-06-14,1919.07414
2018-06-15,1933.9014
2018-06-23,2331.64652
2018-06-24,2153.39862
2018-06-25,2155.55854
2018-06-26,2257.3153899999998
2018-06-27,2168.19819
2019-03-05,2710.87657
2019-03-15,2684.07878
2019-03-23,1843.97468
2019-03-26,1676.7910699999998
2019-03-27,2190.49638
2019-03-28,2055.98691
2019-04-04,3258.02838
2019-04-10,2020.12635
2019-04-11,2087.23074
2019-04-16,2173.39747
2019-04-17,2172.2658
2019-04-18,2135.89498
2019-04-19,1980.52164
2019-04-20,1762.84225
2019-04-21,1791.27891
2019-04-22,1773.3455900000001
2019-04-23,1708.85693
2019-04-24,1603.7450000000001
2019-04-25,1577.24102
2019-04-26,1494.70554
2019-04-27,1452.3726
2019-04-28,1378.63404
2019-04-29,1461.0095999999999
2019-04-30,1496.7299600000001
2019-05-01,1531.4863500000001
2019-05-02,1553.93023
2019-05-03,1564.47758
2019-05-04,1580.67552
2019-05-05,1663.08018
2019-05-06,1608.2859099999998
2019-05-07,1504.78766
2019-05-08,1508.55359
2019-05-09,1498.0283499999998
2019-05-10,1519.30102
2019-05-11,1549.7252700000001
2019-05-12,1509.32836
2019-05-13,1423.1383099999998
2019-05-14,1367.2502600000003
2019-05-15,1338.7564399999999
2019-05-16,1288.44909
2019-05-17,1234.28064
2019-05-18,1340.72988
2019-05-19,1329.98197
2019-05-20,1362.27271
2019-05-21,1395.28769
2019-05-22,1504.31311
2019-05-23,1503.74185
2019-05-24,1511.44996
2019-05-25,1545.01143
2019-05-26,1433.9051100000001
2019-05-27,1496.28385
2019-05-28,1438.3421799999999
2019-05-29,1477.68744
2019-05-30,1451.1566199999997
2019-05-31,1368.0946399999998
2019-06-01,1382.89493
2019-06-02,1260.82031
2019-06-03,1222.63174
2019-06-04,1197.08329
2019-06-05,1153.06863
2019-06-06,1113.53369
2019-06-07,1078.52497
2019-06-08,1103.32838
2019-06-09,1045.6342
2019-06-10,1066.2956800000002
2019-06-10,1061.30629
2019-06-10,1215.61381
2019-06-10,1043.48403
2019-06-11,1071.81413
2019-06-11,1158.8428000000001
2019-06-11,997.0737200000001
2019-06-11,1026.49969
2019-06-11,990.06167
2019-06-11,1014.03184
2019-06-11,1005.85887
2019-06-11,993.35617
2019-06-11,997.27434
2019-06-11,1007.2293999999999
2019-06-11,1011.03751
2019-06-11,1028.0616499999999
2019-06-11,1042.76543
2019-06-11,1011.0868
2019-06-11,1140.15505
2019-06-11,1050.84446
2019-06-11,1032.65867
2019-06-11,1041.36831
2019-06-11,1086.14251
2019-06-11,1077.4079000000002
2019-06-11,1090.84029
2019-06-12,1075.51678
2019-06-13,1019.0200600000001
2019-06-14,1004.74137
2019-06-15,1003.99539
2019-06-16,1018.10224
2019-06-24,1148.2907
2019-06-25,1117.12034
2019-06-26,1120.89741
2019-06-27,1075.53958
2019-06-28,1092.99425
2019-06-29,1000.01244
2019-06-30,1022.30214
2019-07-01,1032.9516700000001
2019-07-02,1088.31358
2019-07-03,1091.55157
2019-07-04,1093.46073
2019-07-05,1085.05461
2019-07-06,1230.02136
2019-07-07,1218.1635
2019-07-08,1280.93618
2019-07-09,1228.71341
2019-07-10,1390.70609
2019-07-11,1309.3643700000002
2019-07-12,1491.0436100000002
2019-07-13,1381.6646600000001
2019-07-14,1309.6053900000002
2019-07-15,1391.84134
2019-07-16,1418.06099
2019-07-17,1437.4957100000001
2019-07-18,1429.18397
2019-07-19,1504.86816
2019-07-20,1531.21387
2019-07-21,1504.95163
2019-07-22,1547.27835
2019-07-23,1617.12092
2019-07-24,1620.29421
2019-07-25,1762.10949
2019-07-26,1747.37867
2019-07-26,1740.89228
2019-07-26,1717.42339
2019-07-26,1706.3046800000002
2019-07-26,1702.2136
2019-07-26,1796.21399
2019-07-27,1703.52639
2019-07-27,1716.5317400000001
2019-07-27,1777.0486299999998
2019-07-27,1731.62837
2019-07-27,1757.26484
2019-07-27,1747.1232499999999
2019-07-27,1779.0231600000002
2019-07-27,1744.85295
2019-07-27,1709.9070699999997
2019-07-27,1732.09733
2019-07-27,1728.19612
2019-07-27,1731.55107
2019-07-27,1746.52828
2019-07-27,1775.5936
2019-07-27,1723.91727
2019-07-27,1735.1535999999999
2019-07-27,1747.4314200000001
2019-07-27,1761.01755
2019-07-27,1752.6222899999998
2019-07-28,1702.30941
2019-07-29,1853.5582299999999
2019-07-30,1821.7546100000002
2019-07-31,1799.53823
2019-08-01,1983.66542
2019-08-02,1910.8632
2019-08-03,1965.5516
2019-08-04,2031.3823300000001
2019-08-05,2857.11325
2019-08-06,2115.4066900000003
2019-08-07,2106.91151
2019-08-08,2086.1175700000003
2019-08-09,2087.07408
2019-08-10,2146.26415
2019-08-11,2223.9815200000003
2019-08-12,2527.3419999999996
2019-08-13,2316.50385
2019-08-17,2377.0231000000003
2019-08-18,2385.73895
2019-08-19,2986.18833
2019-08-20,2362.12856
2019-08-21,2445.12498
2019-08-22,2321.03769
2019-08-23,2375.4611800000002
2019-08-24,2321.65876
2019-08-25,2387.25433
2019-08-26,2349.9823699999997
2019-08-27,2388.67372
2019-08-28,2380.55536
2019-08-29,2392.19128
2019-08-30,2356.29106
2019-08-31,2419.5544
2019-09-01,2440.22203
2019-09-02,2497.56806
2019-09-03,2412.1263
2019-09-04,2479.18793
2019-09-05,2411.33598
2019-09-06,2570.14903
2019-09-07,2559.55535
2019-09-08,2502.56237
2019-09-09,2466.43716
2019-09-10,2426.01974
2019-09-12,2534.92598
2019-09-13,2435.70507
2019-09-14,2508.01073
2019-09-15,2516.24608
2019-09-16,2513.71025
2019-09-17,2547.25404
2019-09-18,2539.99225
2019-09-19,2511.03331
2019-09-20,2510.82287
2019-09-21,2514.3138099999996
2019-09-22,2578.70622
2019-09-23,2536.28735
2019-09-24,2546.13285
2019-09-25,2534.59269
2019-09-26,2554.10036
2019-09-27,2635.3634599999996
2019-09-28,2609.7303199999997
2019-09-29,2598.21832
2019-09-30,2559.53938
2019-10-01,2586.51869
2019-10-02,2617.46727
2019-10-03,2568.00702
2019-10-04,2600.0029
2019-10-05,2585.77078
2019-10-06,2613.5391
2019-10-07,2690.85073
2019-10-08,2686.70607
2019-10-09,2597.54073
2019-10-10,2658.13429
2019-10-11,2664.24334
2019-10-12,2697.0394399999996
2019-10-13,2793.39166
2019-10-18,2584.14233
2019-10-25,2703.06403
2019-10-29,2558.03272
2019-11-01,2638.74776
2019-11-05,2575.77424
2019-11-08,2642.80105
2019-11-22,2603.82842
2019-11-25,2633.05803
2019-11-29,2617.71659
2019-12-06,2671.7941100000003
2019-12-09,2614.8748299999997
2019-12-13,2695.38768
2019-12-16,2712.70496
2019-12-20,2671.6228899999996
2019-12-24,2636.3192099999997
2019-12-27,2688.91273
2019-12-31,2712.38652
2020-01-03,2697.32581
2020-01-07,2727.8806200000004
2020-01-10,2677.81876
2020-01-18,2718.2115599999997
2020-01-21,2537.0599899999997
2020-01-24,2559.53796
2020-01-27,2516.14968
2020-01-31,2452.9718
2020-02-03,2513.2802
2020-02-06,2499.24056
2020-02-08,2482.20488
2020-02-11,2517.4248399999997
2020-02-14,2384.0019
2020-02-19,2470.99263
2020-02-22,2434.96289
2020-02-26,2589.90998
2020-02-27,2447.76921
2020-03-04,2523.98833
2020-03-10,2519.76541
2020-03-13,2436.53193
2020-03-17,2441.079
2020-04-01,2477.31568
2020-04-08,2409.99707
2020-04-18,2186.91171
2020-04-22,2015.31239
2020-04-23,2198.60564
2020-04-26,1805.4243900000001
2020-04-27,1717.89391
2020-04-28,1561.1596299999999
2020-04-29,1436.43057
2020-04-30,1413.47886
2020-05-01,1314.6945400000002
2020-05-02,1236.96331
2020-05-03,1280.47876
2020-05-04,1212.30215
2020-05-05,1611.60734
2020-05-06,2343.07063
2020-05-07,2082.05101
2020-05-08,1288.4768299999998
2020-05-09,1399.0744599999998
2020-05-10,1154.9401
2020-05-11,1264.8079699999998
2020-05-12,1468.4732800000002
2020-05-13,1112.25766
2020-05-14,1712.70815
2020-05-15,1331.67902
2020-05-16,1134.68023
2020-05-17,1496.44805
2020-05-20,1567.46537
2020-05-21,1164.20446
2020-05-22,1276.89856
2020-05-23,1150.00405
2020-05-24,1217.74991
2020-05-25,1217.33314
2020-05-26,1420.18455
2020-05-27,1178.68189
2020-05-28,1160.80337
2020-05-29,1066.4061
2020-05-30,2480.43574
2020-05-31,1094.63796
2020-06-01,1096.21276
2020-06-02,1772.1786700000002
2020-06-03,1228.94075
2020-06-04,1101.9380099999998
2020-06-05,1158.12802
2020-06-06,1076.89779
2020-06-07,1158.88959
2020-06-08,1208.34033
2020-06-09,1654.8192700000002
2020-06-10,1224.31285
2020-06-11,1236.2952500000001
2020-06-12,2121.10114
