Location ID,Depth Name,Depth_cm bgs,Other Name,Date,Time,water table depth_cm bgs,pH,EC_uS/cm,ORP_mV,DO_uM,Fe(II)_uM,DOC_mM,DIC_mM,NH4_mM,Cl_mM,SO4_mM,NO3_mM,Li_M,sd_M,Be_M,sd_M,B_M,sd_M,Na_M,sd_M,Mg_M,sd_M,Al_M,sd_M,Si_M,sd_M,K_M,sd_M,V_M,sd_M,Cr_M,sd_M,Mn_M,sd_M,Ca_M,sd_M,Fe_M,sd_M,Se_M,sd_M,Ti_M,sd_M,Ni_M,sd_M,Co_M,sd_M,Cu_M,sd_M,Zn_M,sd_M,Ge_M,sd_M,Rb_M,sd_M,Sr_M,sd_M,Zr_M,sd_M,Mo_M,sd_M,Ag_M,sd_M,Cd_M,sd_M,Sn_M,sd_M,Sb_M,sd_M,Cs_M,sd_M,Ba_M,sd_M,Eu_M,sd_M,Pb_M,sd_M,Th_M,sd_M,U_M,sd_M,P_M,sd_M,As_M,sd_M
ER-MCP2,,,MCP-2,5/31/2018,11:50,,7.79,335,-8,,,0.562,3.445,0.0104,0.4301,0.0892,BDL,2.97E-07,3.69E-08,BDL,BDL,8.14E-07,2.84E-08,2.45E-04,3.93E-06,2.98E-04,8.13E-07,1.03E-06,9.56E-08,1.55E-04,1.74E-06,1.44E-05,3.18E-07,2.76E-09,3.00E-10,1.65E-08,6.71E-10,2.03E-05,2.60E-07,1.16E-03,7.92E-06,1.03E-04,3.17E-07,BDL,BDL,BDL,BDL,3.01E-08,2.71E-09,1.18E-09,2.08E-10,2.25E-08,1.28E-09,2.78E-06,2.17E-08,BDL,BDL,6.40E-09,3.56E-10,1.82E-06,1.52E-08,BDL,BDL,1.38E-08,6.42E-10,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,1.24E-06,1.21E-08,2.96E-10,7.78E-11,BDL,BDL,BDL,BDL,1.51E-10,2.08E-11,6.36E-06,3.99E-07,5.22E-09,4.92E-10
ER-MCP2,,,MCP-2,6/5/2018,11:00,18,7.23,354,-42,,,0.577,3.926,0.0110,0.4243,0.0662,BDL,3.50E-07,3.43E-08,BDL,BDL,7.87E-07,2.11E-08,2.61E-04,4.41E-06,3.41E-04,4.05E-06,1.35E-07,6.45E-08,1.62E-04,1.79E-06,1.54E-05,2.70E-07,3.01E-09,1.73E-10,BDL,BDL,2.30E-05,3.19E-07,1.33E-03,8.58E-06,1.24E-04,5.60E-07,BDL,BDL,BDL,BDL,2.47E-08,2.13E-09,1.15E-09,2.61E-10,9.81E-09,8.80E-10,2.65E-06,6.91E-09,BDL,BDL,6.80E-09,4.14E-10,2.09E-06,1.27E-08,BDL,BDL,1.32E-08,7.80E-10,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,1.42E-06,9.73E-09,3.20E-10,5.57E-11,BDL,BDL,BDL,BDL,2.02E-10,2.24E-11,6.31E-06,2.47E-07,4.98E-09,7.23E-10
ER-MCP2,,,MCP-2,6/7/2018,10:20,9,7.6,385,-34,,,0.552,4.144,0.0138,0.4218,0.0595,BDL,3.24E-07,5.77E-08,BDL,BDL,7.74E-07,1.95E-08,2.52E-04,2.01E-06,3.28E-04,1.77E-06,BDL,BDL,1.62E-04,7.12E-07,1.57E-05,2.88E-07,2.56E-09,2.88E-10,5.61E-09,4.44E-10,2.15E-05,3.46E-07,1.27E-03,2.79E-06,9.52E-05,6.10E-07,BDL,BDL,BDL,BDL,2.63E-08,2.36E-09,1.24E-09,3.31E-10,5.40E-09,6.36E-10,2.56E-06,2.00E-08,BDL,BDL,6.69E-09,4.93E-10,1.99E-06,5.94E-09,BDL,BDL,1.29E-08,6.09E-10,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,1.33E-06,9.64E-09,2.83E-10,3.72E-11,BDL,BDL,BDL,BDL,2.23E-10,3.47E-11,6.24E-06,2.13E-07,6.06E-09,8.32E-10
ER-MCP2,,,MCP-2,6/9/2018,10:35,28,7.42,392,-50,,,0.54,4.296,0.0116,0.4228,0.0539,BDL,3.16E-07,2.52E-08,BDL,BDL,7.27E-07,1.45E-08,2.50E-04,2.31E-06,3.42E-04,2.70E-06,1.55E-07,6.39E-08,1.62E-04,5.84E-07,1.55E-05,2.95E-07,1.78E-09,2.02E-10,BDL,BDL,2.27E-05,3.05E-07,1.32E-03,5.25E-06,7.97E-05,7.93E-07,BDL,BDL,BDL,BDL,2.53E-08,2.37E-09,1.17E-09,3.12E-10,1.34E-08,1.09E-09,2.67E-06,1.92E-08,BDL,BDL,6.51E-09,3.20E-10,2.06E-06,1.21E-08,BDL,BDL,1.27E-08,8.55E-10,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,1.36E-06,1.65E-08,2.83E-10,2.84E-11,BDL,BDL,BDL,BDL,2.42E-10,3.49E-11,6.01E-06,2.84E-07,4.08E-09,5.49E-10
ER-MCP2,,,MCP-2,6/12/2018,10:10,31,7.47,1155,-33,,,0.579,3.962,0.0118,0.4147,0.0504,BDL,BDL,BDL,BDL,BDL,5.60E-07,2.10E-08,2.38E-04,1.50E-06,3.46E-04,1.22E-05,BDL,BDL,1.51E-04,3.60E-06,1.52E-05,3.66E-07,3.00E-09,2.93E-10,BDL,BDL,2.64E-05,2.59E-07,1.40E-03,3.58E-06,1.53E-04,6.66E-07,BDL,BDL,BDL,BDL,3.18E-08,3.03E-09,1.48E-09,1.17E-10,5.28E-09,6.50E-10,3.62E-06,2.19E-08,BDL,BDL,7.02E-09,2.63E-10,2.30E-06,3.18E-09,BDL,BDL,1.33E-08,1.35E-09,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,1.60E-06,1.61E-08,3.30E-10,4.79E-11,BDL,BDL,BDL,BDL,3.27E-10,4.40E-11,7.56E-06,1.86E-07,1.66E-08,1.66E-09
ER-MCP2,,,MCP-2,6/14/2018,9:15,36,7.5,377,21,,,0.57,3.928,0.0117,0.4075,0.0460,BDL,BDL,BDL,BDL,BDL,5.47E-07,1.26E-08,2.37E-04,1.53E-06,3.42E-04,1.08E-05,BDL,BDL,1.48E-04,2.66E-06,1.53E-05,4.16E-07,3.24E-09,1.93E-10,BDL,BDL,2.61E-05,2.36E-07,1.39E-03,5.73E-06,1.51E-04,8.26E-07,BDL,BDL,BDL,BDL,2.98E-08,1.49E-09,1.32E-09,2.17E-10,6.45E-09,4.62E-10,3.60E-06,3.43E-08,BDL,BDL,6.87E-09,1.28E-10,2.27E-06,1.26E-08,BDL,BDL,1.32E-08,1.12E-09,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,1.57E-06,1.06E-08,3.63E-10,3.05E-11,BDL,BDL,BDL,BDL,3.02E-10,5.82E-11,7.88E-06,1.16E-07,1.67E-08,1.02E-09
ER-MCP2,,,MCP-2,6/19/2018,11:10,,,447,-99,,,0.577,4.041,0.0119,0.4035,0.0462,BDL,BDL,BDL,BDL,BDL,5.19E-07,2.50E-08,2.39E-04,1.85E-06,3.51E-04,1.07E-05,BDL,BDL,1.51E-04,2.74E-06,1.54E-05,3.53E-07,3.43E-09,2.23E-10,3.38E-09,8.92E-10,2.69E-05,2.26E-07,1.44E-03,1.21E-05,1.57E-04,8.29E-07,BDL,BDL,BDL,BDL,3.09E-08,2.92E-09,1.66E-09,2.52E-10,4.27E-09,3.27E-10,4.10E-06,2.29E-08,BDL,BDL,6.97E-09,1.32E-10,2.36E-06,1.20E-08,BDL,BDL,1.38E-08,7.72E-10,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,1.63E-06,1.72E-08,3.58E-10,3.47E-11,BDL,BDL,4.82E-10,5.78E-11,3.14E-10,4.32E-11,9.00E-06,1.98E-07,2.03E-08,1.33E-09
ER-MCP2,,,MCP-2,6/21/2018,10:30,,,627,-120,,,0.591,4.046,0.0123,0.4007,0.0451,BDL,BDL,BDL,BDL,BDL,5.04E-07,1.54E-08,2.37E-04,1.88E-06,3.48E-04,1.25E-05,BDL,BDL,1.48E-04,3.15E-06,1.64E-05,3.98E-07,3.01E-09,2.26E-10,1.76E-09,2.27E-10,2.66E-05,2.23E-07,1.42E-03,9.17E-06,1.55E-04,7.24E-07,BDL,BDL,BDL,BDL,3.28E-08,2.21E-09,1.40E-09,1.37E-10,6.84E-09,9.23E-10,4.23E-06,2.15E-08,BDL,BDL,7.42E-09,2.38E-10,2.34E-06,7.89E-09,BDL,BDL,1.20E-08,4.73E-10,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,1.60E-06,8.02E-09,3.48E-10,5.54E-11,5.97E-10,9.34E-11,1.28E-10,3.84E-11,3.40E-10,2.73E-11,8.74E-06,1.99E-07,1.90E-08,1.09E-09
ER-MCP2,,,MCP-2,6/27/2018,10:05,,7.45,400,-86,,,0.521,3.808,0.0129,0.3974,0.0435,BDL,2.64E-07,3.57E-08,BDL,BDL,5.24E-07,2.72E-08,2.16E-04,7.08E-06,3.34E-04,3.15E-06,BDL,BDL,1.51E-04,9.24E-07,2.03E-05,2.58E-07,1.72E-09,3.39E-10,BDL,BDL,2.32E-05,2.57E-07,1.39E-03,4.16E-06,5.33E-05,1.04E-07,BDL,BDL,BDL,BDL,2.17E-08,1.95E-09,1.11E-09,3.79E-10,BDL,BDL,2.17E-06,1.44E-08,BDL,BDL,6.26E-09,2.63E-10,2.06E-06,1.51E-08,BDL,BDL,1.29E-08,1.15E-09,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,1.31E-06,7.89E-09,2.35E-10,4.90E-11,BDL,BDL,BDL,BDL,2.65E-10,2.90E-11,7.68E-06,2.27E-07,3.31E-09,7.32E-10
ER-MCP2,,,MCP-2,6/29/2018,10:45,,7.28,374,12,,,0.531,3.946,0.0131,0.3965,0.0450,BDL,3.08E-07,1.56E-08,BDL,BDL,5.14E-07,1.72E-08,2.66E-04,3.49E-06,3.69E-04,1.70E-06,BDL,BDL,1.55E-04,4.20E-07,2.35E-05,4.13E-07,3.07E-09,3.62E-10,BDL,BDL,2.59E-05,2.45E-07,1.56E-03,8.07E-06,1.03E-04,4.42E-07,BDL,BDL,BDL,BDL,2.52E-08,1.98E-09,1.22E-09,2.75E-10,5.76E-09,7.71E-10,3.32E-06,4.91E-08,BDL,BDL,7.86E-09,1.48E-10,2.31E-06,1.44E-08,BDL,BDL,1.34E-08,1.03E-09,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,1.53E-06,2.23E-08,2.90E-10,5.68E-11,BDL,BDL,BDL,BDL,2.79E-10,4.35E-11,7.90E-06,4.57E-07,4.63E-09,8.18E-10
ER-MCP2,,,MCP-2,7/2/2018,11:20,,7.29,399,-116,,,0.513,4.131,0.0129,0.3935,0.0545,BDL,3.63E-07,3.78E-08,BDL,BDL,5.25E-07,1.00E-08,2.52E-04,4.01E-06,3.94E-04,1.89E-06,BDL,BDL,1.53E-04,8.96E-07,2.42E-05,4.00E-07,BDL,BDL,BDL,BDL,2.66E-05,3.47E-07,1.68E-03,3.92E-06,4.02E-05,9.10E-08,BDL,BDL,BDL,BDL,2.74E-08,1.96E-09,1.24E-09,3.23E-10,3.55E-09,5.33E-10,2.09E-06,1.94E-08,BDL,BDL,7.70E-09,1.84E-10,2.43E-06,1.04E-08,BDL,BDL,1.32E-08,7.22E-10,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,1.52E-06,1.47E-08,2.44E-10,6.13E-11,BDL,BDL,BDL,BDL,2.91E-10,1.68E-11,7.92E-06,3.33E-07,3.55E-09,8.27E-10
ER-MCP2,,,MCP-2,7/6/2018,10:05,56,7.23,395,-122,,,0.488,4.165,0.0124,0.3726,0.0790,BDL,3.21E-07,3.44E-08,BDL,BDL,4.67E-07,4.49E-08,2.35E-04,4.41E-06,3.70E-04,3.09E-06,BDL,BDL,1.55E-04,1.14E-06,2.10E-05,3.12E-07,2.14E-09,3.70E-10,1.71E-09,2.21E-10,2.59E-05,2.48E-07,1.58E-03,4.52E-06,5.74E-05,1.70E-07,BDL,BDL,BDL,BDL,2.33E-08,3.25E-09,BDL,BDL,BDL,BDL,2.88E-06,1.92E-08,BDL,BDL,6.56E-09,2.85E-10,2.28E-06,1.30E-08,BDL,BDL,1.35E-08,6.36E-10,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,1.46E-06,1.38E-08,2.74E-10,6.48E-11,BDL,BDL,BDL,BDL,2.84E-10,3.94E-11,8.72E-06,1.79E-07,3.73E-09,6.93E-10
ER-MCP2,,,MCP-2,7/10/2018,9:35,57,7.01,409,-135,,,0.458,4.268,0.0126,0.3534,0.0941,BDL,2.50E-07,4.08E-08,BDL,BDL,4.85E-07,2.82E-08,1.89E-04,3.51E-06,2.88E-04,1.69E-06,BDL,BDL,1.53E-04,1.10E-06,1.84E-05,2.00E-07,BDL,BDL,BDL,BDL,2.02E-05,2.15E-07,1.19E-03,2.81E-06,1.92E-05,7.17E-08,BDL,BDL,BDL,BDL,1.84E-08,1.37E-09,BDL,BDL,6.92E-09,8.60E-10,1.70E-06,2.55E-08,BDL,BDL,5.23E-09,3.45E-10,1.74E-06,8.23E-09,BDL,BDL,1.29E-08,1.15E-09,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,1.07E-06,9.68E-09,1.64E-10,3.89E-11,BDL,BDL,BDL,BDL,2.43E-10,6.16E-11,9.18E-06,2.91E-07,BDL,BDL
ER-MCP2,,,MCP-2,7/12/2018,9:55,57,7.02,411,-128,,,0.453,4.264,0.0133,0.3441,0.1034,BDL,3.90E-07,3.06E-08,BDL,BDL,3.31E-07,2.40E-08,2.51E-04,2.34E-06,3.81E-04,5.46E-06,1.84E-06,8.97E-08,1.57E-04,3.55E-06,1.73E-05,2.50E-07,3.12E-09,1.77E-10,2.51E-09,3.67E-10,2.71E-05,2.72E-07,1.51E-03,1.67E-05,1.56E-04,1.58E-06,BDL,BDL,BDL,BDL,BDL,BDL,1.86E-09,1.97E-10,BDL,BDL,4.19E-06,6.15E-08,BDL,BDL,7.81E-09,1.18E-10,2.67E-06,8.16E-09,BDL,BDL,1.34E-08,8.10E-10,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,1.69E-06,1.38E-08,4.78E-10,6.06E-11,BDL,BDL,BDL,BDL,3.76E-10,6.35E-11,7.87E-06,3.18E-07,1.16E-08,5.83E-10
ER-MCP2,,,MCP-2,7/17/2018,9:05,59,7.05,419,-123,,,0.463,4.344,0.0135,0.3309,0.1072,BDL,3.57E-07,3.19E-08,BDL,BDL,3.13E-07,2.80E-08,2.46E-04,4.25E-06,3.68E-04,7.86E-06,2.11E-06,7.12E-08,1.57E-04,3.89E-06,1.73E-05,1.95E-07,2.90E-09,1.50E-10,1.89E-09,1.59E-10,2.63E-05,1.58E-07,1.48E-03,8.78E-06,1.49E-04,1.38E-06,BDL,BDL,BDL,BDL,BDL,BDL,1.58E-09,1.75E-10,3.56E-09,7.50E-10,4.47E-06,8.77E-08,BDL,BDL,7.66E-09,2.71E-10,2.59E-06,1.35E-08,BDL,BDL,1.31E-08,6.39E-10,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,1.65E-06,1.00E-08,4.58E-10,3.51E-11,BDL,BDL,BDL,BDL,3.51E-10,3.58E-11,8.47E-06,4.74E-07,1.17E-08,9.69E-10
ER-MCP2,,,MCP-2,7/21/2018,9:55,63,6.9,407,-125,,,0.478,4.375,0.0145,0.3368,0.1082,BDL,3.46E-07,2.65E-08,BDL,BDL,3.08E-07,2.14E-08,2.47E-04,2.22E-06,3.76E-04,2.50E-06,2.16E-06,7.77E-08,1.59E-04,1.68E-06,1.80E-05,1.61E-07,3.04E-09,1.81E-10,1.84E-09,1.49E-10,2.69E-05,2.39E-07,1.51E-03,9.33E-06,1.50E-04,1.39E-06,BDL,BDL,BDL,BDL,BDL,BDL,1.80E-09,1.73E-10,3.93E-09,6.10E-10,4.14E-06,3.33E-08,BDL,BDL,7.68E-09,2.32E-10,2.65E-06,1.13E-08,BDL,BDL,1.28E-08,5.42E-10,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,1.69E-06,1.26E-08,5.07E-10,4.29E-11,BDL,BDL,BDL,BDL,3.49E-10,3.35E-11,8.49E-06,4.25E-07,1.13E-08,1.25E-09
ER-MCP2,,,MCP-2,7/24/2018,10:35,65,6.88,427,-124,,,0.48,4.584,0.0136,0.3358,0.1087,BDL,3.52E-07,6.62E-08,BDL,BDL,3.44E-07,2.37E-08,2.41E-04,3.19E-06,3.61E-04,5.33E-06,2.31E-06,8.47E-08,1.61E-04,3.74E-06,1.76E-05,3.05E-07,2.79E-09,1.57E-10,2.81E-09,2.58E-10,2.60E-05,2.45E-07,1.46E-03,1.38E-05,1.29E-04,9.64E-07,BDL,BDL,BDL,BDL,BDL,BDL,1.82E-09,2.23E-10,3.97E-09,8.48E-10,3.74E-06,3.01E-08,BDL,BDL,7.61E-09,2.20E-10,2.56E-06,1.74E-08,BDL,BDL,1.34E-08,7.15E-10,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,1.63E-06,1.54E-08,4.86E-10,4.03E-11,BDL,BDL,BDL,BDL,3.18E-10,4.13E-11,9.24E-06,5.63E-07,1.02E-08,9.53E-10
ER-MCP2,,,MCP-2,7/27/2018,10:05,68,7.05,431,-118,2.63,,0.459,4.48,0.0137,0.3405,0.1063,BDL,3.05E-07,5.84E-08,BDL,BDL,BDL,BDL,2.44E-04,4.19E-06,3.76E-04,3.67E-06,2.16E-06,4.23E-07,1.69E-04,2.62E-06,1.67E-05,2.45E-07,3.73E-09,6.85E-10,BDL,BDL,2.53E-05,3.45E-07,1.42E-03,1.37E-05,1.22E-04,2.46E-06,BDL,BDL,BDL,BDL,2.02E-08,1.95E-09,1.42E-09,1.60E-10,BDL,BDL,3.91E-06,4.16E-08,BDL,BDL,8.17E-09,5.25E-10,2.58E-06,2.18E-08,BDL,BDL,1.28E-08,1.24E-09,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,1.67E-06,2.44E-08,4.16E-10,5.14E-11,BDL,BDL,BDL,BDL,3.22E-10,3.26E-11,1.10E-05,2.76E-07,1.07E-08,1.18E-09
ER-MCP2,,,MCP-2,7/30/2018,10:05,67,6.93,433,-121,BDL,,0.451,4.501,0.0136,0.3489,0.0947,BDL,3.45E-07,9.01E-08,BDL,BDL,BDL,BDL,2.41E-04,4.02E-06,3.84E-04,8.56E-06,1.71E-06,3.19E-07,1.66E-04,5.00E-06,1.66E-05,3.13E-07,4.82E-09,8.18E-10,BDL,BDL,2.67E-05,3.88E-07,1.50E-03,1.17E-05,1.39E-04,1.31E-06,BDL,BDL,BDL,BDL,2.03E-08,1.27E-09,1.42E-09,5.07E-10,BDL,BDL,4.06E-06,2.00E-08,BDL,BDL,7.65E-09,3.80E-10,2.62E-06,1.34E-08,BDL,BDL,1.33E-08,4.90E-10,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,1.75E-06,1.02E-08,4.38E-10,4.14E-11,BDL,BDL,BDL,BDL,2.62E-10,3.94E-11,9.75E-06,3.80E-07,1.11E-08,1.82E-09
ER-MCP2,,,MCP-2,8/2/2018,10:05,69,6.71,432,-82,,,0.462,4.146,0.0142,0.3279,0.0845,BDL,3.89E-06,4.85E-06,1.92E-05,2.53E-05,8.63E-06,1.21E-05,3.07E-04,5.86E-06,4.25E-04,7.04E-06,2.38E-06,4.02E-07,1.67E-04,3.45E-06,6.99E-05,1.02E-06,9.99E-09,2.84E-09,3.07E-08,2.86E-09,2.96E-05,2.87E-07,1.74E-03,2.29E-05,1.82E-04,2.99E-06,4.42E-07,1.72E-07,1.91E-06,2.76E-06,4.84E-07,5.23E-07,7.08E-08,8.92E-08,2.07E-07,1.81E-07,5.16E-06,2.65E-07,1.66E-07,2.22E-07,5.63E-08,5.61E-08,2.89E-06,1.64E-08,6.22E-08,7.86E-08,1.75E-07,2.15E-07,8.69E-08,1.15E-07,3.96E-07,5.19E-07,1.34E-07,1.77E-07,1.31E-07,1.67E-07,2.37E-08,3.07E-08,1.91E-06,2.40E-07,3.51E-08,4.50E-08,6.98E-08,8.90E-08,2.55E-08,3.28E-08,2.29E-08,2.94E-08,8.98E-06,2.12E-07,5.51E-08,5.19E-09
ER-MCP2,,,MCP-2,8/9/2018,15:05,74,6.79,455,-102,,,0.521,4.06,0.0144,0.3478,0.0637,BDL,2.36E-07,5.67E-08,BDL,BDL,BDL,BDL,2.71E-04,6.13E-06,4.28E-04,1.14E-05,2.16E-06,7.92E-08,1.70E-04,5.87E-06,1.91E-05,3.22E-07,3.06E-09,1.77E-10,3.38E-08,6.68E-10,3.01E-05,1.27E-07,1.72E-03,1.52E-05,1.82E-04,1.91E-06,BDL,BDL,BDL,BDL,6.35E-08,3.30E-09,3.62E-09,2.39E-10,1.17E-08,1.31E-09,3.68E-06,4.17E-08,BDL,BDL,8.28E-09,1.70E-10,2.90E-06,3.04E-08,8.21E-09,2.32E-09,1.34E-08,5.24E-10,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,1.75E-06,1.33E-08,4.86E-10,6.26E-11,BDL,BDL,BDL,BDL,3.21E-10,4.20E-11,6.44E-06,2.05E-07,9.74E-09,5.47E-10
ER-MCP2,,,MCP-2,8/25/2018,,,,,,,,0.438,4.266,0.0144,0.3177,0.0580,BDL,2.21E-07,4.56E-08,BDL,BDL,BDL,BDL,2.69E-04,7.94E-06,4.27E-04,7.56E-06,2.09E-06,8.52E-08,1.69E-04,5.12E-06,1.88E-05,2.31E-07,3.06E-09,1.47E-10,1.13E-08,5.21E-10,3.02E-05,1.33E-07,1.70E-03,1.67E-05,1.87E-04,1.53E-06,BDL,BDL,BDL,BDL,4.82E-08,1.46E-09,3.64E-09,4.38E-10,6.15E-09,9.12E-10,5.64E-06,3.39E-08,BDL,BDL,8.23E-09,3.24E-10,2.86E-06,4.89E-08,BDL,BDL,1.26E-08,3.98E-10,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,1.76E-06,1.20E-08,4.23E-10,6.39E-11,BDL,BDL,BDL,BDL,2.63E-10,4.77E-11,6.25E-06,2.79E-07,9.87E-09,5.83E-10
ER-MCP2,,,MCP-2,9/12/2018,,,,,,,,0.414,4.054,0.0115,0.2769,0.1082,BDL,2.93E-07,6.92E-08,BDL,BDL,BDL,BDL,2.69E-04,2.18E-06,4.36E-04,9.08E-06,BDL,BDL,1.80E-04,3.28E-06,1.88E-05,3.89E-07,4.48E-09,1.60E-10,1.75E-08,3.92E-10,3.06E-05,3.36E-07,1.71E-03,2.13E-05,1.89E-04,2.64E-06,BDL,BDL,3.63E-08,2.03E-09,4.14E-08,2.35E-09,1.59E-09,1.19E-10,5.56E-09,3.33E-10,8.80E-06,5.57E-08,BDL,BDL,8.09E-09,3.07E-10,2.76E-06,3.18E-08,BDL,BDL,1.18E-08,1.07E-09,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,1.82E-06,8.23E-09,4.71E-10,4.40E-11,BDL,BDL,BDL,BDL,3.05E-10,6.71E-11,1.04E-05,4.61E-07,6.82E-09,7.77E-10
ER-MCP2,,,MCP-2,9/23/2018,,,,,,,,0.432,3.949,0.0118,0.2290,0.1556,BDL,2.29E-07,5.46E-08,BDL,BDL,BDL,BDL,2.67E-04,7.47E-06,4.41E-04,6.92E-06,BDL,BDL,1.79E-04,3.39E-06,1.78E-05,2.17E-07,4.25E-09,1.43E-10,1.13E-08,4.52E-10,2.98E-05,1.59E-07,1.70E-03,2.91E-05,1.89E-04,2.88E-06,BDL,BDL,BDL,BDL,3.14E-08,2.84E-09,1.35E-09,1.62E-10,5.11E-09,3.22E-10,7.79E-06,4.95E-08,BDL,BDL,8.00E-09,3.08E-10,2.74E-06,4.26E-09,BDL,BDL,1.16E-08,8.18E-10,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,1.78E-06,2.11E-08,4.81E-10,4.22E-11,BDL,BDL,BDL,BDL,3.37E-10,3.16E-11,1.27E-05,7.47E-07,6.87E-09,8.29E-10
ER-MCP3,,,MCP-3,5/27/2018,12:20,,7.82,411,-47,BDL,8.60,0.489,3.881,0.0043,0.0951,0.3252,BDL,2.84E-07,3.45E-08,BDL,BDL,2.43E-07,1.65E-08,1.83E-04,1.40E-06,3.28E-04,3.85E-06,1.15E-06,6.93E-08,1.63E-04,1.54E-06,1.14E-05,2.15E-07,BDL,BDL,3.22E-09,2.50E-10,2.47E-05,2.36E-07,1.24E-03,6.06E-06,7.53E-05,3.43E-07,BDL,BDL,BDL,BDL,2.16E-08,1.34E-09,BDL,BDL,9.49E-07,1.22E-08,7.22E-07,8.38E-09,BDL,BDL,4.62E-09,2.67E-10,1.88E-06,2.77E-08,BDL,BDL,1.30E-08,9.07E-10,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,1.35E-06,2.66E-08,2.88E-10,2.41E-11,BDL,BDL,BDL,BDL,1.48E-10,1.99E-11,1.12E-05,1.64E-06,4.88E-09,4.05E-10
ER-MCP3,,,MCP-3,5/31/2018,12:00,,7.72,381,-14,,,0.329,4.076,0.0041,0.0871,0.3254,BDL,3.31E-07,2.53E-08,BDL,BDL,2.24E-07,2.12E-08,2.00E-04,9.08E-07,3.36E-04,3.27E-06,1.08E-06,6.69E-08,1.63E-04,9.97E-07,1.19E-05,1.67E-07,2.65E-09,1.69E-10,BDL,BDL,2.52E-05,2.30E-07,1.27E-03,4.64E-06,1.08E-04,5.26E-07,BDL,BDL,BDL,BDL,1.70E-08,1.35E-09,BDL,BDL,4.77E-09,1.17E-09,8.38E-07,8.32E-09,BDL,BDL,4.99E-09,3.92E-10,1.94E-06,1.04E-08,BDL,BDL,1.87E-08,9.76E-10,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,1.40E-06,1.30E-08,2.90E-10,5.03E-11,BDL,BDL,BDL,BDL,1.50E-10,4.18E-11,1.05E-05,1.44E-06,6.13E-09,8.01E-10
ER-MCP3,,,MCP-3,6/5/2018,11:30,13,7.31,373,-18,,,0.314,4.051,0.0041,0.0765,0.3299,BDL,3.26E-07,2.97E-08,BDL,BDL,2.34E-07,1.58E-08,1.89E-04,3.93E-06,3.41E-04,6.32E-06,BDL,BDL,1.63E-04,6.09E-06,1.20E-05,1.98E-07,2.36E-09,2.15E-10,1.79E-09,1.65E-10,2.60E-05,2.34E-07,1.29E-03,8.55E-06,1.16E-04,1.12E-06,BDL,BDL,BDL,BDL,1.96E-08,2.07E-09,1.06E-09,2.12E-10,8.85E-09,1.26E-09,4.84E-07,1.83E-08,BDL,BDL,5.13E-09,1.91E-10,2.01E-06,2.18E-08,BDL,BDL,1.24E-08,8.46E-10,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,1.46E-06,1.76E-08,2.71E-10,6.15E-11,BDL,BDL,BDL,BDL,BDL,BDL,1.06E-05,1.48E-06,6.61E-09,6.37E-10
