energy,MC1_55_75_spot1,MC1_55_75_spot1_fit,MC1_55_75_spot2,MC1_55_75_spot2_fit,MC3_105_140_spot1,MC3_105_140_spot1_fit,MC3_105_140_spot2,MC3_105_140_spot2_fit,MC3_105_140_spot3,MC3_105_140_spot3_fit,MC3_105_140_spot4,MC3_105_140_spot4_fit
293.338,0.99705994,1.0043992,1.1074549,1.0313966,0.94345859,1.0358312,1.0577931,1.0455645,1.0180949,1.0350663,1.1355371,1.091334
293.634,1.0280724,1.0128982,1.0785799,1.0404138,1.0388139,1.0429596,1.0658943,1.0520398,1.0173674,1.0462969,1.1561069,1.0979475
293.93,1.023565,1.0201176,1.0548938,1.0482293,1.0497998,1.0484763,1.0227217,1.0567514,1.1059071,1.0567953,1.1487474,1.1027708
294.226,1.1103714,1.0265872,1.0114059,1.0554309,1.0250678,1.0529378,1.0563945,1.0602597,1.0835057,1.0672014,1.1325894,1.1064471
294.522,1.0264068,1.0327201,1.0261876,1.0624914,1.1067793,1.056789,1.0846107,1.0630148,1.0764259,1.0780375,1.135887,1.109514
294.818,1.0984291,1.0388501,1.0485141,1.0698042,1.0978098,1.0603995,1.0045909,1.0653937,1.0905208,1.089741,1.1425117,1.1124365
295.114,1.0217466,1.0452513,1.1052976,1.0776985,1.0613086,1.0640815,1.0777284,1.0677172,1.1510492,1.1026772,1.1159045,1.1156193
295.41,1.0381437,1.0521453,1.0841638,1.086444,1.030742,1.0680962,1.0291999,1.0702568,1.0849974,1.1171404,1.1546823,1.1194094
295.706,1.0846981,1.0597037,1.0671532,1.0962502,1.0606405,1.072655,1.0834204,1.0732359,1.1333049,1.1333493,1.1248521,1.1240925
296.002,1.1325067,1.0680473,1.107753,1.1072616,1.1103281,1.0779178,1.0832865,1.076828,1.1333942,1.1514396,1.1780039,1.1298869
296.298,1.1338446,1.0772433,1.1502319,1.1195534,1.165096,1.0839904,1.1146941,1.0811538,1.1679683,1.1714557,1.1676033,1.1369375
296.594,1.1337914,1.0873036,1.2010973,1.1331268,1.109305,1.0909211,1.0647057,1.0862789,1.3327375,1.1933442,1.2203782,1.1453105
296.89,1.0948109,1.0981831,1.1962594,1.1479063,1.1405679,1.0987003,1.1055567,1.0922127,1.2716768,1.2169486,1.2395314,1.1549901
297.186,1.1526687,1.1097803,1.5226957,1.1637395,1.1183539,1.10726,1.1426926,1.0989084,1.7162263,1.2420089,1.4361767,1.1658781
297.482,1.1147806,1.1219391,1.1958254,1.1803997,1.1073211,1.1164763,1.0579915,1.1062653,1.2751073,1.2681645,1.2278796,1.1777969
297.778,1.1767455,1.1344537,1.1336716,1.1975918,1.0863384,1.1261741,1.1280785,1.1141335,1.3037978,1.2949622,1.1622612,1.1904958
298.074,1.1973658,1.1470755,1.1247247,1.214962,1.1030701,1.136134,1.1267163,1.1223201,1.1389199,1.321869,1.151802,1.2036606
298.37,1.1880821,1.159522,1.0800728,1.23211,1.1826852,1.1461014,1.1532915,1.1305984,1.1830227,1.3482896,1.1598407,1.2169266
298.666,1.1267754,1.171488,1.1568404,1.2486048,1.1527508,1.1557973,1.1176997,1.1387173,1.220894,1.3735881,1.1547972,1.229894
298.962,1.1680238,1.1826585,1.173908,1.2640018,1.2069087,1.1649305,1.1109917,1.1464135,1.2646943,1.397113,1.1663605,1.2421456
299.258,1.1165797,1.1927222,1.2302987,1.2778623,1.1970961,1.1732112,1.1442718,1.1534232,1.3767532,1.4182242,1.1901756,1.2532654
299.554,1.1188856,1.2013853,1.302214,1.2897728,1.1285487,1.1803636,1.1445204,1.1594947,1.3972611,1.4363204,1.1861224,1.2628575
299.85,1.2319288,1.2083848,1.4589323,1.2993632,1.1413315,1.1861389,1.2116375,1.1643996,1.6862964,1.4508666,1.3405696,1.2705643
