"Wavelength, nm",MOP-1-2 NaCl whole,MOP-1-4 NaCl whole,MOP-2-2 NaCl whole,MOP-2-4 NaCl whole,MOP-3-2 NaCl whole,MOP-3-4 NaCl whole,MOP-3-6 NaCl whole,MOP-4-2 NaCl whole,MOP-4-3 NaCl whole,MCC-1A-3 NaCl whole,MCC-3-3 NaCl whole,MCC-3-6 NaCl whole,MCC-5-2 NaCl whole,MCC-5-4 NaCl whole,MCC-5-5 NaCl whole,MOP-1-2 PP-SPE,MOP-1-4 PP-SPE,MOP-2-2 PP-SPE,MOP-2-4 PP-SPE,MOP-3-2 PP-SPE,MOP-3-4 PP-SPE,MOP-3-6 PP-SPE,MOP-4-2 PP-SPE,MOP-4-3 PP-SPE,MCC-1A-3 PP-SPE,MCC-3-3 PP-SPE,MCC-3-6 PP-SPE,MCC-5-2 PP-SPE,MCC-5-4 PP-SPE,MCC-5-5 PP-SPE
221,2.999,2.162,4.251,1.499,3.223,2.822,2.996,4.190,1.693,4.037,3.839,5.458,2.413,1.763,1.691,8.733,7.813,7.716,8.012,8.873,8.987,10.260,9.276,7.457,7.514,6.827,8.241,8.333,9.146,9.618
222,2.945,2.127,4.180,1.468,3.176,2.782,2.947,4.140,1.657,3.975,3.786,5.390,2.373,1.736,1.666,8.715,7.738,7.625,7.933,8.770,8.894,10.150,9.153,7.374,7.425,6.752,8.149,8.250,9.061,9.535
223,2.894,2.096,4.117,1.431,3.130,2.739,2.903,4.094,1.626,3.921,3.734,5.320,2.342,1.710,1.643,8.761,7.658,7.539,7.858,8.687,8.800,10.043,9.047,7.296,7.348,6.682,8.060,8.169,8.979,9.453
224,2.844,2.071,4.049,1.402,3.085,2.694,2.865,4.046,1.601,3.860,3.687,5.249,2.300,1.680,1.616,8.503,7.581,7.459,7.781,8.600,8.710,9.938,8.933,7.210,7.268,6.609,7.970,8.089,8.897,9.371
225,2.798,2.040,3.987,1.375,3.044,2.658,2.827,4.000,1.565,3.806,3.638,5.187,2.272,1.655,1.591,8.494,7.512,7.383,7.710,8.519,8.627,9.846,8.834,7.136,7.201,6.545,7.882,8.018,8.821,9.294
226,2.746,2.008,3.919,1.352,2.998,2.624,2.793,3.959,1.542,3.749,3.589,5.114,2.239,1.635,1.578,8.471,7.430,7.305,7.632,8.429,8.541,9.740,8.727,7.055,7.117,6.474,7.794,7.934,8.738,9.206
227,2.700,1.979,3.859,1.320,2.955,2.585,2.755,3.908,1.524,3.692,3.538,5.050,2.208,1.609,1.553,8.385,7.351,7.229,7.560,8.354,8.452,9.642,8.626,6.975,7.044,6.403,7.715,7.857,8.660,9.119
228,2.652,1.944,3.797,1.293,2.911,2.544,2.715,3.864,1.498,3.633,3.487,4.983,2.166,1.589,1.528,8.273,7.270,7.151,7.485,8.269,8.363,9.540,8.510,6.898,6.968,6.331,7.620,7.778,8.575,9.026
229,2.608,1.915,3.739,1.275,2.869,2.511,2.683,3.817,1.480,3.580,3.444,4.921,2.144,1.568,1.513,8.183,7.188,7.078,7.415,8.191,8.277,9.444,8.417,6.816,6.895,6.259,7.540,7.697,8.495,8.938
230,2.566,1.886,3.683,1.254,2.830,2.475,2.650,3.769,1.454,3.526,3.401,4.862,2.117,1.548,1.493,8.013,7.111,7.012,7.342,8.111,8.196,9.351,8.314,6.745,6.827,6.196,7.470,7.623,8.414,8.850
