energy,M6_unweathered,M6_unweathered_fit,energy,M6_weathered,M6_weathered_fit,energy,GRO_top,GRO_top fit,GRO_middle,GRO_middle_fit,GRO_bottom,GRO_bottom_fit
293.3,0.98045718,1.0503647,293.3,0.97829029,1.0550512,293.3,0.97119309,1.0637354,0.99248123,1.0646044,0.96414769,1.066688
293.4,1.0082869,1.0523287,293.4,1.0098103,1.0575717,293.4,0.9911511,1.0659792,0.99615475,1.0670419,0.98894699,1.0690346
293.5,1.0064643,1.0539857,293.5,0.98863552,1.0598245,293.5,0.99126777,1.0679324,0.9985919,1.0692027,0.98367787,1.0710972
293.6,0.98507807,1.0553637,293.6,0.98869685,1.0618395,293.6,0.97567428,1.0696244,1.0010305,1.071117,1.000362,1.0729058
293.7,0.97667092,1.0564879,293.7,0.96996343,1.0636435,293.7,0.97967374,1.0710821,0.96947767,1.0728119,1.0008329,1.0744875
293.8,0.98637248,1.0573809,293.8,0.98636769,1.0652612,293.8,0.98262609,1.0723298,0.98969586,1.0743125,0.98819126,1.0758672
293.9,1.0023017,1.0580637,293.9,0.99605825,1.066715,293.9,0.99941457,1.0733899,1.0051179,1.0756417,0.99546234,1.0770678
294,0.98898911,1.0585552,294,0.99774072,1.0680259,294,1.0085562,1.0742831,1.0123722,1.0768208,0.99835196,1.0781104
294.1,0.98886522,1.0588732,294.1,0.96620465,1.0692132,294.1,0.99378414,1.0750287,0.9910939,1.0778697,0.98181389,1.0790149
294.2,0.98106201,1.0590343,294.2,0.9899439,1.0702954,294.2,1.0235716,1.0756451,0.99867663,1.0788072,0.99358434,1.0797999
294.3,0.97960807,1.0590539,294.3,1.0068945,1.0712894,294.3,0.99917166,1.0761492,1.0052207,1.0796509,1.0146872,1.080483
294.4,0.97329349,1.0589467,294.4,1.0034784,1.0722116,294.4,1.0284159,1.0765574,1.0343374,1.0804175,1.031164,1.0810809
294.5,0.96069908,1.0587265,294.5,0.97160226,1.0730774,294.5,0.97839893,1.076885,1.004853,1.081123,0.9901257,1.0816095
294.6,0.95992343,1.0584064,294.6,0.99268039,1.0739013,294.6,1.033037,1.0771467,1.0125616,1.0817824,1.030447,1.0820838
294.7,0.96861037,1.057999,294.7,0.99294997,1.0746973,294.7,1.0367818,1.0773565,1.0361103,1.0824102,1.0506839,1.0825182
294.8,0.99591039,1.0575161,294.8,1.0303411,1.0754786,294.8,1.0275347,1.0775276,1.0580488,1.0830201,1.0596353,1.0829263
294.9,0.96132594,1.056969,294.9,1.0033181,1.0762576,294.9,1.0619799,1.0776727,1.0558623,1.0836251,1.0883916,1.0833213
295,0.97958049,1.0563685,295,1.0215734,1.0770462,295,1.0553669,1.077804,1.0734857,1.0842376,1.1057016,1.0837155
295.1,0.98334475,1.055725,295.1,1.0306481,1.0778556,295.1,1.0858398,1.0779328,1.0869432,1.0848692,1.1247598,1.0841206
295.2,0.97466391,1.0550482,295.2,1.0196699,1.0786965,295.2,1.0722555,1.07807,1.0731769,1.0855312,1.083196,1.0845479
295.3,0.97648279,1.0543474,295.3,1.0478368,1.0795787,295.3,1.0844779,1.0782259,1.1100446,1.0862338,1.1363673,1.0850077
295.4,1.0057542,1.0536315,295.4,1.0510143,1.0805115,295.4,1.0907492,1.0784099,1.1069788,1.0869869,1.12971,1.0855098
295.5,1.0150182,1.0529087,295.5,1.0685617,1.0815034,295.5,1.1162215,1.0786313,1.1314715,1.0877994,1.1312683,1.0860634
295.6,0.99228452,1.052187,295.6,1.0656461,1.0825624,295.6,1.0939856,1.0788982,1.0909312,1.0886796,1.1008513,1.086677
295.7,1.0087498,1.0514737,295.7,1.0486271,1.0836955,295.7,1.103731,1.0792184,1.0919291,1.0896353,1.1016283,1.0873582
295.8,1.0270325,1.0507756,295.8,1.0965188,1.0849093,295.8,1.1058911,1.0795989,1.1247701,1.0906732,1.127645,1.0881141
295.9,1.0330596,1.050099,295.9,1.0595102,1.0862095,295.9,1.0640762,1.0800461,1.09633,1.0917994,1.0779709,1.0889511
296,1.0629984,1.04945,296,1.1345162,1.0876009,296,1.1283941,1.0805656,1.124262,1.0930193,1.1187737,1.0898746
296.1,1.0142129,1.0488337,296.1,1.0701482,1.0890879,296.1,1.0894788,1.0811624,1.0828331,1.0943374,1.0820488,1.0908894
296.2,1.0258314,1.0482551,296.2,1.0692373,1.0906737,296.2,1.0443926,1.0818407,1.0796215,1.0957575,1.0565175,1.0919996
296.3,1.0010054,1.0477185,296.3,1.0622787,1.0923611,296.3,1.0401453,1.0826041,1.0458097,1.0972824,1.0362525,1.0932083
296.4,1.0255404,1.0472277,296.4,1.0869837,1.0941519,296.4,1.042553,1.0834553,1.0958149,1.0989143,1.0696939,1.0945179
296.5,1.0403672,1.0467859,296.5,1.0888242,1.0960469,296.5,1.0565562,1.0843964,1.0841622,1.1006544,1.0644306,1.0959301
296.6,1.0487352,1.0463961,296.6,1.0969041,1.0980466,296.6,1.0762575,1.0854287,1.0905919,1.1025032,1.060659,1.0974456
296.7,1.0246381,1.0460604,296.7,1.0828073,1.1001502,296.7,1.0479611,1.0865528,1.0930962,1.1044602,1.0552775,1.0990646
296.8,1.0656917,1.0457807,296.8,1.1303918,1.1023563,296.8,1.0935105,1.0877686,1.1296091,1.1065242,1.128944,1.1007861
296.9,1.1409555,1.0455583,296.9,1.2133028,1.1046629,296.9,1.1401259,1.0890751,1.1730303,1.1086932,1.1596166,1.1026086
297,1.1960569,1.045394,297,1.2526349,1.1070668,297,1.1699591,1.0904709,1.1962052,1.1109644,1.1637786,1.1045298
297.1,1.3606991,1.045288,297.1,1.4561283,1.1095643,297.1,1.2997094,1.0919536,1.3542572,1.113334,1.3286994,1.1065465
297.2,1.3971429,1.0452403,297.2,1.5187929,1.112151,297.2,1.3180842,1.0935204,1.4158804,1.1157976,1.3767412,1.1086549
297.3,1.2726571,1.0452503,297.3,1.3457119,1.1148215,297.3,1.2366317,1.0951675,1.2767969,1.1183501,1.2739524,1.1108503
297.4,1.1415512,1.045317,297.4,1.2279716,1.11757,297.4,1.1670998,1.0968908,1.2039714,1.1209855,1.1720623,1.1131274
297.5,1.0574458,1.0454389,297.5,1.1352144,1.1203898,297.5,1.0902912,1.0986853,1.141879,1.1236973,1.0967079,1.1154802
297.6,1.0238331,1.0456142,297.6,1.0926573,1.1232738,297.6,1.098145,1.1005457,1.1161845,1.1264781,1.1071015,1.1179022
297.7,0.99947555,1.0458407,297.7,1.0690886,1.1262139,297.7,1.0820412,1.1024659,1.0570159,1.1293201,1.0901076,1.1203861
297.8,0.97228327,1.0461159,297.8,1.0583619,1.1292018,297.8,1.0594199,1.1044394,1.0482108,1.1322147,1.0710052,1.1229241
297.9,0.97172016,1.0464368,297.9,1.0629375,1.1322285,297.9,1.0641152,1.1064592,1.0717713,1.1351529,1.0800791,1.1255079
